"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","MED_TÖNE","DE01","DE02_01","DE03","DE04","ME02","ME01","ME03","ME04","ME05","ME05_01","ME05_02","ME05_03","ME05_04","ME05_07","ME05_08","ME05_05","ME05_05a","ME05_06","ME05_06a","ME05_09","ME06","ME06_01","ME06_02","ME06_03","ME06_04","ME06_05","ME06_05a","ME07","ME08","PT01","PT02_01","PT02_02","PT02_03","PT02_04","PT02_05","PT03_01","PT03_02","PT03_03","PT03_04","PT03_05","PT04_01","PT04_02","PT04_03","PT05_01","PT06_01","PT06_02","TIME001","TIME002","TIME003","TIME004","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
77,NA,"n72eyw","base","interview","ger","07.12.2016 00:56",48,2,34,1,NA,1,3,4,3,1,1,2,1,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,3,3,2,1,1,1,1,1,1,1,1,4,3,3,"Intensität / Tiefe der Meditation
Versch. Gefühle je nach Meditationsart",NA,NA,12,7,30,55,104,NA,"07.12.2016 00:58",1,0,4,4,0,0,"1.9",45,1.1839778588305272
78,NA,"0qv90z","base","interview","ger","07.12.2016 00:58",47,2,47,1,NA,1,4,3,3,1,1,2,1,1,1,1,1,"",1,"",NA,1,1,2,1,1,NA,"",NA,NA,4,3,3,1,1,1,3,3,1,1,1,5,5,3,"Stressentfernung durch Meditation
Energiegewinnung durch Meditation",NA,NA,19,7,25,81,132,NA,"07.12.2016 01:01",1,0,4,4,0,0,"1.68",35,1.101916267473573
79,NA,"5d9509","base","interview","ger","07.12.2016 01:02",52,1,50,1,NA,1,5,1,5,1,1,1,1,1,2,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,4,3,3,1,1,1,4,4,2,1,1,5,4,4,"#NAME?",NA,NA,12,4,30,79,125,NA,"07.12.2016 01:04",1,0,4,4,0,0,"1.95",48,1.1490226900468068
80,NA,"9yxgjz","base","interview","ger","07.12.2016 01:05",59,1,58,1,NA,1,4,1,4,1,1,1,1,1,2,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,3,4,4,1,1,1,3,3,1,1,3,2,5,3,"Unterschiedliche Wirkung von Klangmeditation und angeleiteter Meditation auf die Gefühle. ",NA,NA,11,6,23,53,93,NA,"07.12.2016 01:06",1,0,4,4,0,0,"2.17",60,1.3758511705223786
81,NA,"52hyzn","base","interview","ger","07.12.2016 01:07",60,1,61,1,NA,1,5,1,4,1,1,1,1,1,2,1,1,"",1,"",NA,3,2,2,2,1,NA,"",NA,NA,5,4,4,1,1,1,3,3,1,2,2,3,4,2,"",NA,NA,12,5,30,28,75,NA,"07.12.2016 01:08",1,0,4,4,4,3,"2.17",81,1.6941821720279493
85,NA,"zlumzg","base","interview","ger","31.03.2017 13:01",48,1,33,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,4,2,5,5,2,1,1,3,5,1,3,2,"Einfluss der Töne und Geräusche auf das Gemüt",NA,NA,17,6,NA,147,170,NA,"31.03.2017 13:04",1,0,3,4,0,0,"1.16",9,1.6035055608510365
86,NA,"7po4ra","base","interview","ger","01.04.2017 10:34",43,1,58,1,NA,1,5,2,4,3,1,2,1,2,1,1,2,"Vajrayana ",1,"",NA,2,2,1,2,1,NA,"",2,NA,5,4,4,4,2,1,3,3,3,4,4,3,4,4,"Wirksamkeit dieser Mediation",NA,NA,16,6,92,209,323,NA,"01.04.2017 10:39",1,0,4,4,0,0,"1.01",8,1.3229492594227648
87,NA,"ethdxv","base","interview","ger","01.04.2017 15:20",56,1,60,1,NA,1,4,3,4,1,2,1,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",1,NA,3,4,3,1,1,1,2,3,1,4,3,3,2,2,"Störbarkeit/Irritierbarkeit durch Veränderung der Geräuschkulisse??",NA,NA,55,15,99,331,463,NA,"01.04.2017 15:29",1,0,4,4,0,0,"0.51",0,1.5023775973217848
88,NA,"7t3ou0","base","interview","ger","02.04.2017 18:50",44,2,44,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,2,4,2,1,1,2,3,1,1,1,2,5,3,"Auswirkung von Entspannung/positivem Denken auf die Sinneswahrnehmung",NA,NA,44,16,NA,284,344,NA,"02.04.2017 18:56",1,0,3,4,0,0,"0.48",0,1.2874593381632204
89,NA,"crrqfl","base","interview","ger","04.04.2017 17:50",48,1,59,1,NA,1,5,4,5,1,2,1,1,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",-9,NA,4,4,4,1,1,2,4,4,1,1,3,3,5,2,"ist durch angeleitetes Hinspüren und Fühlen eine Veränderung in der Gefühlebene möglich. Wird das gleiche Ergebnis durch Töne erreicht",NA,NA,30,10,82,283,405,NA,"04.04.2017 17:57",1,0,4,4,4,3,"0.71",0,1.2292781204713892
90,NA,"3jl99j","base","interview","ger","06.04.2017 10:40",49,1,55,1,NA,1,4,3,2,1,1,2,1,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",-9,NA,5,4,4,1,1,1,3,3,1,1,1,4,5,4,"Wirkung der geleiteten Meditation und Wirkung von Klang.",NA,NA,27,9,48,213,297,NA,"06.04.2017 10:45",1,0,4,4,4,3,"0.94",6,1.2012922817941718
91,NA,"con2s8","base","interview","ger","06.04.2017 11:24",54,1,49,1,NA,1,5,1,4,1,1,1,1,1,1,1,2,"Dzogchen",1,"",NA,2,2,1,2,1,NA,"",-9,NA,4,5,4,1,1,3,2,1,3,3,3,2,3,3,"Wie Meditatonserfahrung unsere Alltagswahrnehmung beeinflusst.",NA,NA,16,9,81,168,274,NA,"06.04.2017 11:29",1,0,4,4,4,3,"0.95",2,1.3032760370178529
92,NA,"cbq93n","base","interview","ger","07.04.2017 11:39",55,1,25,2,3,1,1,4,2,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",2,NA,1,1,1,1,1,5,2,1,1,1,4,4,5,5,"Einfluss der Geräusche auf die Wahrnehmung bei Meditation",NA,NA,13,13,42,88,156,NA,"07.04.2017 11:42",1,0,4,4,0,0,"1.32",20,1.4479926648474197
93,NA,"opuphp","base","interview","ger","07.04.2017 12:11",55,1,50,1,NA,1,4,2,2,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",1,NA,4,4,4,1,1,1,3,3,1,1,3,3,5,4,"Löst Meditation auch unangenehme Emotionen aus? Lässt sich der Effekt der angeleiteten Meditation durch die Töne halten oder wird sie unterbrochen? Wirksamkeit von Meditation? Unterschied zwischen Praktikern und ""Anfängern""",NA,NA,15,6,56,257,334,NA,"07.04.2017 12:16",1,0,4,4,0,0,"1.12",12,1.6176387051426755
94,NA,"l7ttnf","base","interview","ger","07.04.2017 17:06",47,2,46,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,2,1,1,1,1,2,1,1,1,1,2,4,3,"Wahrnehmung von Gefühlen",NA,NA,23,6,NA,118,147,NA,"07.04.2017 17:08",1,0,3,4,0,0,"1.14",11,1.4963012124919417
95,NA,"vc97nj","base","interview","ger","07.04.2017 17:33",51,1,40,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,1,1,1,1,4,1,1,1,1,4,3,3,3,"keine Ahnung, mir fehlt der Zugang",NA,NA,18,6,NA,96,120,NA,"07.04.2017 17:35",1,0,3,4,0,0,"1.3",15,1.5314126621257222
96,NA,"ovb3lq","base","interview","ger","09.04.2017 10:01",51,1,39,1,NA,1,3,3,1,1,1,1,1,1,1,1,2,"",1,"",NA,1,1,2,1,1,NA,"",1,NA,2,4,3,1,1,1,1,1,1,1,3,1,4,4,"",NA,NA,25,5,52,139,221,NA,"09.04.2017 10:04",1,0,4,4,8,7,"1.21",15,1.5679812064291971
97,NA,"lxwf21","base","interview","ger","09.04.2017 10:49",53,2,39,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,2,2,2,2,3,1,1,1,3,3,1,3,4,"Gedultschwelle bis Abbruch",NA,NA,23,11,NA,141,175,NA,"09.04.2017 10:52",1,0,3,4,0,0,"0.85",0,1.6836335865418883
98,NA,"7tws4e","base","interview","ger","09.04.2017 11:59",47,1,37,1,NA,1,1,4,4,1,1,1,1,2,1,1,1,"",1,"",NA,1,1,2,1,1,NA,"",1,NA,1,2,2,2,2,4,2,2,2,2,5,2,2,2,"wie beeiflussbar menschliche Gefühle durch das gesprochene Wort/Aufforderungen bzw. durch Töne,Klänge und Gesänge sind.
",NA,NA,48,20,250,318,427,NA,"09.04.2017 12:10",1,0,4,4,0,0,"0.38",0,1.5542379959376529
99,NA,"9aft1d","base","interview","ger","09.04.2017 12:53",43,2,39,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,1,1,1,1,5,1,1,1,1,5,1,4,3,"Eine neue Meditationstechnik?",NA,NA,14,5,NA,105,124,NA,"09.04.2017 12:55",1,0,3,4,0,0,"1.46",23,1.2953975395995825
100,NA,"3rzlvj","base","interview","ger","12.04.2017 10:29",47,2,43,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,4,4,1,1,1,1,1,1,5,1,1,1,"die Bereitschaft, sich auf angeleitete Meditationen einzulassen",NA,NA,25,9,NA,199,233,NA,"12.04.2017 10:33",1,0,3,4,0,0,"0.8",0,1.20936400240587
101,NA,"690d33","base","interview","ger","12.04.2017 12:06",43,1,48,1,NA,1,5,1,4,3,2,2,1,2,1,1,1,"",1,"",NA,2,2,1,2,1,NA,"",-9,NA,4,5,4,1,1,1,5,4,1,1,1,3,4,4,"Einfluss von Meditation auf ""Störgefühle""/Streßempfinden",NA,NA,15,11,59,146,231,NA,"12.04.2017 12:10",1,0,4,4,4,3,"1.04",5,1.0357414652417551
102,NA,"asf6bd","base","interview","ger","12.04.2017 16:52",45,1,40,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,2,2,1,1,2,4,3,3,1,1,3,5,5,"die Wirkung von Meditation?",NA,NA,27,7,NA,114,148,NA,"12.04.2017 16:55",1,0,3,4,0,0,"1.04",8,0.9376560507498293
103,NA,"rjb7nf","base","interview","ger","13.04.2017 10:56",48,1,58,1,NA,1,3,3,3,2,1,2,1,1,2,1,1,"",1,"",NA,2,2,2,1,1,NA,"",-9,NA,4,4,3,2,1,1,1,1,1,1,4,2,3,2,"wirkung der Anleitung",NA,NA,29,13,72,129,243,NA,"13.04.2017 11:00",1,0,4,4,4,3,"0.84",1,0.9025967757141947
104,NA,"j7up8u","base","interview","ger","19.04.2017 12:26",56,1,34,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,3,3,2,1,1,4,3,1,1,2,2,5,3,"Wahrnehmung der Gefühle",NA,NA,17,7,NA,93,117,NA,"19.04.2017 12:28",1,0,3,4,0,0,"1.26",13,0.9980249809477348
105,NA,"j3esaw","base","interview","ger","19.04.2017 13:39",43,1,24,1,NA,1,4,2,2,1,1,1,1,1,1,1,2,"chamanische Meditation (Erdung, Eigenen Raum n´mit energie füllen)",1,"",NA,1,2,1,1,1,NA,"",1,NA,5,5,5,1,1,2,3,2,1,1,3,2,5,3,"ob sich der liebende-güte effekt auf die entsprechende meditation  beschränkt, oder auch auf die klangmeditation ausweitet?",NA,NA,27,7,74,147,255,NA,"19.04.2017 13:44",1,0,4,4,0,0,"0.96",4,0.8723366907607345
106,NA,"sj63yy","base","interview","ger","19.04.2017 15:03",57,1,28,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,2,1,1,1,5,3,1,1,1,3,2,3,2,"Das kann ich leider nicht sagen. Habe keine Idee",NA,NA,16,11,NA,135,162,NA,"19.04.2017 15:06",1,0,3,4,0,0,"0.98",2,0.9764122383037382
107,NA,"eerss7","base","interview","ger","19.04.2017 16:30",45,1,21,1,NA,1,3,4,2,2,1,2,1,1,1,1,2,"Yoga",1,"",NA,2,2,2,1,1,NA,"",2,NA,3,4,4,3,4,1,2,2,1,1,4,1,4,2,"Wirkung einer Mediation, Elemente einer Meditation",NA,NA,13,7,52,131,203,NA,"19.04.2017 16:34",1,0,4,4,0,0,"1.27",13,0.8894462361910164
108,NA,"7uev8a","base","interview","ger","19.04.2017 18:25",52,1,34,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,4,1,1,1,2,2,1,3,3,3,2,2,"inwiefern verschieden Hintergrundtöne die Mediation erleichtern oder erschweren",NA,NA,14,17,NA,124,155,NA,"19.04.2017 18:28",1,0,3,4,0,0,"0.97",6,0.91832625844045
109,NA,"9zqg3n","base","interview","ger","20.04.2017 19:19",51,2,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,3,3,1,3,2,2,1,1,4,1,5,3,"Wie der Mensch Töne und Meditation wahrnimmt und was es bei ihm bewirkt.",NA,NA,47,8,NA,251,277,NA,"20.04.2017 19:24",1,0,3,4,0,0,"0.68",2,0.9327640001483084
110,NA,"p6geqs","base","interview","ger","20.04.2017 19:56",50,1,46,1,NA,1,4,2,1,2,1,2,1,1,1,1,2,"yoga",1,"",NA,3,2,2,2,1,NA,"",1,NA,4,3,4,4,1,1,2,2,1,1,2,1,5,4,"wie tolerant man nach der meditation gegenüber unangehnemen geräuschen ist dh ob man so erfüüllt ist dass einen nichts mehr stört",NA,NA,45,14,164,446,238,NA,"20.04.2017 20:07",1,0,4,4,0,0,"0.44",0,0.9312097353691028
111,NA,"mvk8vv","base","interview","ger","20.04.2017 20:42",49,2,45,1,NA,1,4,2,4,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",1,NA,2,4,2,1,1,2,1,1,4,5,5,1,1,2,"Effektivität einer Meditation Sprachlich angeleitet vs. digitale Töne.",NA,NA,60,11,116,293,438,NA,"20.04.2017 20:50",1,0,4,4,0,0,"0.55",0,0.9133453725031819
112,NA,"l6kut8","base","interview","ger","21.04.2017 10:35",60,1,54,1,NA,1,2,3,3,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",1,NA,3,3,4,2,1,2,4,4,2,1,2,1,3,4,"gelingt dies am Arbeitsplatz",NA,NA,33,12,86,158,289,NA,"21.04.2017 10:40",1,0,4,4,0,0,"0.74",0,1.0726743529512532
113,NA,"77vb0p","base","interview","ger","21.04.2017 13:30",49,1,66,1,NA,1,4,2,4,3,1,2,1,2,1,1,2,"",1,"",NA,1,2,1,1,1,NA,"",-9,NA,4,4,3,1,1,1,2,1,1,2,1,2,2,2,"Ob diese CD auf dem Markt erfolgreich sein könnte.
Ob synthetische  Meditation ertiefen oder eher ablenken und stören.
Ob nur die Sprecherstimmeallein tiefer in die Meditation führt.",NA,NA,25,13,95,391,268,NA,"21.04.2017 13:39",1,0,4,4,8,6,"0.63",0,1.0511950649272923
114,NA,"rb9e06","base","interview","ger","21.04.2017 14:52",56,1,29,1,NA,1,5,3,2,1,2,1,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",1,NA,2,2,3,3,3,3,1,1,2,4,4,1,1,1,"wie gut sich Menschen anleiten lassen. Welche Techniken es ermöglichen in möglichst kurzer Zeit eine möglichst hohe Entspannung zu erzeugen. ",NA,NA,17,11,68,268,364,NA,"21.04.2017 14:58",1,0,4,4,0,0,"0.86",1,1.1677809513114372
115,NA,"lwe420","base","interview","ger","21.04.2017 15:58",45,1,35,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,3,1,2,1,2,2,1,1,1,4,5,5,"Ob man das Gefühl von Liebe und Güte durch Meditation produzieren und es auf andere, bzw. alles übertragen kann, sodass man allem (Meschen, Tieren usw. ) wohlgesonnen (mit Liebe und Güte) begegnet und dementsprechend mit diesen umgeht.",NA,NA,14,8,NA,265,287,NA,"21.04.2017 16:02",1,0,3,4,0,0,"0.97",7,1.054802911709327
116,NA,"ywo7sx","base","interview","ger","21.04.2017 17:45",57,1,54,1,NA,1,4,2,3,3,1,2,1,2,1,1,2,"Atemtherapie",1,"",NA,1,2,1,1,1,NA,"",1,NA,4,4,5,1,1,1,5,5,1,1,1,1,5,5,"",NA,NA,28,11,124,154,317,NA,"21.04.2017 17:50",1,0,4,4,4,3,"0.73",0,1.1903203933930895
117,NA,"2w7yre","base","interview","ger","23.04.2017 13:28",61,2,37,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,2,2,2,2,2,5,3,1,4,1,3,4,1,"Auswirkung von Tönen, Frequenzen und Harmonien auf die Meditation. Zugänglichkeit der Probanden darüber. ""Empfänglichkeit"" in der Meditation über auditive Anleitung ",NA,NA,16,9,NA,251,276,NA,"23.04.2017 13:33",1,0,3,4,0,0,"0.89",2,1.4392458420670313
121,NA,"xt00e7","base","interview","ger","25.04.2017 10:24",48,1,40,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,1,2,2,1,4,1,1,1,3,5,2,3,4,"Ob ich durch die vorherige Meditation das Rauschen weniger störend bzw. die Töne angenehmer empfinde?",NA,NA,85,6,NA,160,184,NA,"25.04.2017 10:29",1,0,3,4,0,0,"0.85",8,1.3778096392012136
122,NA,"61gk65","base","interview","ger","25.04.2017 11:24",45,1,23,1,NA,1,3,4,2,2,2,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",1,NA,2,4,2,1,2,1,1,1,1,5,4,1,3,1,"Ich hab absolut keine Ahnung",NA,NA,18,5,49,75,147,NA,"25.04.2017 11:27",1,0,4,4,0,0,"1.51",26,1.2373697117066476
123,NA,"vo24na","base","interview","ger","25.04.2017 16:35",48,1,47,2,3,1,1,4,2,1,2,1,1,1,1,1,1,"",1,"",NA,1,1,2,1,1,NA,"",2,NA,1,1,1,1,1,5,1,1,1,1,4,3,4,3,"",NA,NA,17,12,47,96,172,NA,"25.04.2017 16:38",1,0,4,4,4,3,"1.18",12,1.1882780059117164
125,NA,"hgnjym","base","interview","ger","25.04.2017 19:20",53,2,45,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,4,2,1,2,1,2,1,1,4,2,4,3,"ob es möglich ist mit Hilfe einer sochen Meditation zu beruhigen bzw. Wut und Ärger zu nehmen? Welche Auswirkung ein Rauschen auf diesen Prozess hat",NA,NA,18,9,NA,199,226,NA,"25.04.2017 19:23",1,0,3,4,0,0,"0.89",0,1.2552394883708209
126,NA,"kr3fo0","base","interview","ger","25.04.2017 19:52",48,1,45,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,5,5,3,1,1,1,5,4,1,1,1,1,5,5,"Die Auswirkung einer Meditation auf das Wohbefinden eines Menschen. ",NA,NA,20,11,NA,139,170,NA,"25.04.2017 19:55",1,0,3,4,0,0,"0.9",0,1.2050137159386436
127,NA,"e6n71z","base","interview","ger","26.04.2017 12:57",48,1,23,1,NA,1,3,2,3,2,1,2,2,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",3,NA,4,5,4,2,1,1,3,3,1,2,1,2,4,3,"Inwiefern Klänge, welche typischerweise in Meditationen integriert werden, diese unterstützten oder eher hemmen.",NA,NA,10,4,47,110,171,NA,"26.04.2017 13:00",1,0,4,4,0,0,"1.7",35,1.1576675950132302
129,NA,"4d2flm","base","interview","ger","26.04.2017 13:31",45,1,21,1,NA,1,3,4,2,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",1,NA,2,3,4,2,2,1,2,3,1,2,2,2,4,3,"Emotionen während Meditationen ",NA,NA,17,6,95,101,219,NA,"26.04.2017 13:34",1,0,4,4,0,0,"1.16",11,1.0496899808191118
130,NA,"dxfuox","base","interview","ger","26.04.2017 14:35",50,1,30,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,4,4,1,4,2,2,2,4,4,4,1,5,5,"",NA,NA,19,25,NA,123,151,NA,"26.04.2017 14:38",1,0,3,4,5,4,"0.8",2,1.0483194767409887
131,NA,"hjefk9","base","interview","ger","26.04.2017 15:50",53,1,31,2,3,1,2,4,2,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",-9,NA,2,2,3,3,2,3,2,3,1,1,2,3,5,2,"",NA,NA,12,11,66,99,188,NA,"26.04.2017 15:53",1,0,4,4,8,6,"1.19",12,1.1035408240614057
132,NA,"1fnek1","base","interview","ger","26.04.2017 16:29",49,2,28,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,3,3,2,1,2,4,3,2,1,2,3,5,5,"Die Wirksamkeit der angeleiteten Meditation mittels eines Computers sowie das Empfinden der Testpersonen hinsichtlich des ungewöhnlichen Rauschens während der Meditation.",NA,NA,13,5,NA,271,289,NA,"26.04.2017 16:34",1,0,3,4,0,0,"1.23",20,1.0819966857269245
133,NA,"kmk4o9","base","interview","ger","27.04.2017 11:07",45,2,43,1,NA,1,5,1,2,1,1,1,1,1,1,1,2,"verschiedene",1,"",NA,1,2,1,1,1,NA,"",-9,NA,4,3,3,3,1,2,2,2,3,1,2,2,4,2,"Möglicherweise der Unterschied von geführter und nicht-geführter Meditation.",NA,NA,22,6,53,201,282,NA,"27.04.2017 11:12",1,0,4,4,4,3,"1.08",10,0.9844697267374916
134,NA,"6g9npv","base","interview","ger","27.04.2017 16:18",46,1,41,1,NA,1,4,2,2,1,1,1,1,1,1,1,2,"ying yang",1,"",NA,1,2,1,1,1,NA,"",-9,NA,3,3,3,2,1,2,3,2,1,1,2,1,4,2,"das gefühl /gespür für das eigene Sein",NA,NA,21,8,55,143,227,NA,"27.04.2017 16:21",1,0,4,4,4,3,"1.05",5,0.9165141220262653
135,NA,"gfk5tr","base","interview","ger","27.04.2017 16:51",47,1,33,1,NA,1,4,4,4,2,1,2,1,2,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",-9,NA,4,3,3,4,1,3,3,3,4,1,2,1,3,2,"Mesitationsverhalten",NA,NA,26,10,78,118,232,NA,"27.04.2017 16:55",1,0,4,4,4,3,"0.91",2,0.8702987368453776
136,NA,"m9khh5","base","interview","ger","27.04.2017 17:38",46,1,46,1,NA,1,3,4,4,1,1,1,1,2,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",2,NA,3,4,4,1,1,2,3,1,1,1,5,2,3,3,"wie wohl man sich mit einer liebevoll geführten Meditation fühlt. Wie heilsam sie 
wirken kann. ",NA,NA,32,9,77,299,417,NA,"27.04.2017 17:45",1,0,4,4,0,0,"0.73",0,0.814174150706486
137,NA,"nu25bp","base","interview","ger","27.04.2017 18:16",49,1,38,1,NA,1,3,3,2,1,1,1,1,1,1,1,2,"Yoga",1,"",NA,1,1,2,1,1,NA,"",1,NA,4,4,4,2,1,2,5,2,1,1,1,3,5,3,"wirkung der töne auf den menschen",NA,NA,23,10,141,240,414,NA,"27.04.2017 18:23",1,0,4,4,0,0,"0.69",0,0.8002786277160954
138,NA,"v6vzlt","base","interview","ger","28.04.2017 10:05",54,1,61,1,NA,1,4,1,2,0,1,1,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",-9,NA,2,3,3,1,1,2,3,3,1,1,2,1,3,3,"",NA,NA,46,13,81,135,247,NA,"28.04.2017 10:10",1,0,4,4,8,6,"0.74",0,0.8488743162162569
139,NA,"bdz7oc","base","interview","ger","28.04.2017 11:28",40,1,57,1,NA,1,4,2,3,2,2,1,2,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",-9,NA,4,4,3,1,1,1,2,2,1,2,5,1,4,1,"Wie Töne oder Sprache sich auf den Körper oder das Gemüt ausüben",NA,NA,24,8,82,238,352,NA,"28.04.2017 11:34",1,0,4,4,4,3,"0.83",2,0.7221269849558338
140,NA,"kbfe5p","base","interview","ger","28.04.2017 12:21",48,1,52,1,NA,1,4,4,4,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",1,NA,5,4,5,2,1,1,5,5,1,1,1,1,5,5,"Welche Gefühle die Meditation und die Klangschalenmeditation auslöst. ",NA,NA,20,10,75,246,351,NA,"28.04.2017 12:27",1,0,4,4,0,0,"0.82",0,0.7005683045784971
141,NA,"gm8ae8","base","interview","ger","02.05.2017 13:55",52,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,3,1,1,1,3,2,1,1,1,1,5,4,"Den Einfluss von Tönen auf Gefühle. ",NA,NA,13,6,NA,75,94,NA,"02.05.2017 13:57",1,0,3,4,0,0,"1.56",28,0.719027362281715
142,NA,"tk4fb9","base","interview","ger","02.05.2017 18:31",53,1,51,1,NA,1,4,2,4,1,1,1,1,1,2,1,1,"",1,"",NA,2,2,2,1,1,NA,"",3,NA,5,4,4,1,1,1,3,2,1,1,3,2,3,3,"Die Fähigkeit de Personen sich auf Meditationen bzw. Entspannung einzustellen.",NA,NA,39,14,291,424,259,NA,"02.05.2017 18:44",1,0,4,4,0,0,"0.42",0,0.7488318906441509
143,NA,"odgpy0","base","interview","ger","02.05.2017 19:14",57,1,17,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,5,5,3,1,1,1,3,2,1,1,2,2,2,3,"Wie gut sich Personen verschiedener Altersgruppen auf Meditation und Entspannungsübungen einlassen können.",NA,NA,24,12,NA,161,197,NA,"02.05.2017 19:17",1,0,3,4,0,0,"0.78",0,0.8259328365843319
165,NA,"qo39sv","base","interview","deu","07.11.2017 13:41",50,1,23,1,NA,1,2,3,3,2,1,2,1,1,1,2,1,"",1,"",1,1,2,1,1,1,1,"",1,2,3,4,3,2,1,2,4,3,1,1,1,3,5,4,"ka",5,5,19,9,68,114,210,NA,"07.11.2017 13:45",1,0,4,4,0,0,"1.04",3,0.8246209907596018
