"ï..CASE","STARTED","self","Geschlecht","Alter","Orientierung","IN03_41","IN03_42","IN03_43","IN03_44","IN03_45","IN03_46","IN03_47","IN03_48","IN03_49","IN03_50","IN03_51","IN03_52","IN03_53","IN03_54","IN03_55","IN03_56","IN03_57","IN01_01","IN01_02","IN01_03","IN01_04","IN01_05","IN01_06","IN01_07","IN01_08","IN01_09","IN01_10","IN01_11","IN01_12","IN01_13","IN01_14","IN01_15","IN01_16","IN01_17","IN01_18","IN01_19","IN01_20","IN04_21","IN04_22","IN04_23","IN04_24","IN04_25","IN04_26","IN04_27","IN04_28","IN04_29","IN04_30","IN04_31","IN04_32","IN04_33","IN04_34","IN04_35","IN04_36","IN04_37","IN04_38","IN04_39","IN04_40","IN02_21","IN02_22","IN02_23","IN02_24","IN02_25","IN02_26","IN02_27","IN02_28","IN02_29","IN02_30","IN02_31","IN02_32","IN02_33","IN02_34","IN02_35","IN02_36","IN02_37","IN05_01","IN05_02","IN05_03","IN05_04","IN05_05","IN05_06","IN05_07","IN05_08","IN05_09","IN05_10","IN05_11","IN05_12","IN05_13","IN05_14","IN05_15","IN05_16","IN05_17","IN05_18","IN05_19","IN05_20","Ziele","IntimitÃ.t_Bindung","Geselligkeit","Anderen_helfen","Hilfe_bekommen","Anerkennung_WertschÃ.tzung","Ãœberlegensein_Imponieren","Autonomie","Leistung","Kontrolle","Bildung_Verstehen","Glauben_Sinn","Leben_auskosten","Selbstvertauen_Selbstwert","Selbstbelohnung","Alleinsein_Trennung","GeringschÃ.tzung","Erniedrigung_Blamage","VorwÃ.rfe_Kritik","AbhÃ.ngigkeit_Autonomieverlust","Spannungen","sich_verletzbar_machen","Hilflosigkeit_Ohnmacht","Versagen","INK_AnnÃ.herung","INK_Vermeidung","INK_GES","IAT","Ink_hoch","BF"
211,"11/27/2017 15:53:46",7,1,23,1,5,4,4,4,4,4,4,5,4,4,4,3,4,3,3,4,3,3,3,4,4,5,2,4,4,4,5,5,4,4,2,4,4,3,5,4,5,4,5,4,4,3,4,5,4,4,5,3,3,5,4,5,4,2,4,4,4,1,3,2,2,1,1,2,2,3,3,3,3,1,3,2,1,2,4,1,3,2,2,1,2,2,1,2,3,3,2,3,1,2,3,1,1,1,"EinschÃ¤tzung der eigenen PersÃ¶nlichkeit und WertschÃ¤tzung der eigenen Person<br>wie sehr lassen sich Personen von Ã¤uÃŸeren Faktoren/Wertungen beeinflussen",1.6,1.5,1.75,2.25,1.75,2,2.25,1.75,2.25,1.25,2.5,2.8,2.25,3.33333333333333,1.6,1.6,1.5,2.66666666666667,2,1.75,3,2.5,2.25,2.08809523809524,2.0962962962963,2.09219576719577,NA,0,0.7201152564167325
212,"11/27/2017 15:59:42",4,1,28,1,5,5,3,4,3,3,4,4,4,4,3,2,3,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,5,4,4,3,4,4,4,5,5,3,3,5,3,4,5,4,4,5,5,5,3,4,4,4,4,5,4,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,3,2,2,3,1,1,3,2,2,2,2,2,4,2,3,3,3,1,1,1,"Das VerhÃ¤ltnis von unangenehmen Situationen und schÃ¶nen Situationen im Vergleich wie man selbst im Leben steht",1.8,1.75,2.5,2,2,2.75,1.75,2,2.25,1.75,2.5,1.2,2.25,1.33333333333333,1.8,1,1.25,3.33333333333333,1.4,2,2,1.75,1.5,1.98809523809524,1.78148148148148,1.88478835978836,NA,0,0.7017588859775665
214,"11/27/2017 16:24:31",5,1,20,1,4,3,3,5,3,5,4,5,3,4,5,2,5,3,5,5,4,5,5,5,5,4,4,2,3,5,3,4,5,5,3,2,4,5,4,4,1,5,5,4,4,4,4,2,4,5,5,5,5,5,4,5,4,4,5,5,1,1,1,3,1,1,1,1,2,1,1,2,3,1,1,2,4,1,3,3,3,1,1,1,2,4,1,1,1,1,3,1,4,1,3,1,1,1,"Versuchen zu verstÃ¤hen welche GefÃ¼hle wir mit den Bildern fÃ¼hlen in denen wir sie mit den ersten Fragen assozieren",4.2,1,1,2.75,1.75,2.5,1,1.5,1.25,1.5,3,1.4,1.75,2.33333333333333,2.6,1,2.25,2.33333333333333,1,1.25,3,1.25,1.5,1.92380952380952,1.79814814814815,1.86097883597884,NA,0,0.6984995936402187
215,"11/27/2017 16:25:14",6,1,19,1,4,5,4,4,3,2,4,4,4,4,2,2,5,4,3,2,3,4,4,3,4,3,3,2,3,4,3,4,4,5,4,4,5,4,4,5,5,3,4,4,4,5,3,5,3,5,4,2,3,4,4,4,4,3,4,3,5,1,2,2,1,2,1,2,2,1,1,1,2,2,3,3,1,1,2,1,3,2,1,1,2,2,1,2,3,2,2,1,2,1,3,2,1,1,"GefÃ¼hlszustand in Auswirkung auf Wahrnehmung von als unangenehm geltenden Bildern.",1.2,1.5,3.25,1.75,2,3,2,2,1.75,2.75,2.75,3,2.75,2.33333333333333,1.2,1,2,1.66666666666667,1.4,2,2.66666666666667,2.5,1.5,2.28809523809524,1.77037037037037,2.0292328042328,NA,0,0.7096452543052044
216,"11/27/2017 16:25:25",6,1,21,1,5,5,5,5,3,5,5,5,5,4,4,4,4,2,4,3,5,5,5,3,4,4,4,4,4,3,3,4,5,4,2,3,3,4,4,4,1,4,5,4,3,4,5,2,4,5,5,5,4,5,5,5,5,5,5,5,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,2,1," ",3.6,1.25,2,2,1.5,2.5,1.75,1,1.75,1.5,2,1.4,2.25,2.33333333333333,1.6,1.2,1.25,1.33333333333333,1.2,1,2,1.75,1.25,1.91666666666667,1.39814814814815,1.65740740740741,NA,0,0.7235900054669535
217,"11/27/2017 16:25:53",5,1,20,1,4,5,3,5,3,5,5,5,3,3,4,3,4,1,5,5,4,2,4,2,5,5,5,3,4,5,4,5,5,5,2,5,2,3,3,3,5,4,4,5,3,3,5,5,3,5,5,5,4,5,5,5,3,5,5,2,5,1,4,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,4,4,1,1,1,1,1,3,1,2,1,1,5,1,4,1,1,1,"Irgendwas zu HerbstgefÃ¼hlen herauszufinden",1,1,1.5,3.5,1,2.25,1.5,2.25,3.5,1.5,3,1,3,2,1.8,1,1,1,1,1.75,3.33333333333333,3.25,1.25,2,1.70925925925926,1.85462962962963,NA,0,0.7206994832250221
220,"11/27/2017 16:27:59",3,1,23,1,4,5,5,4,3,4,5,3,4,4,3,4,3,2,3,3,5,3,4,4,5,3,4,4,3,3,3,4,5,4,2,1,3,4,4,3,5,4,4,4,4,5,4,4,4,4,5,4,4,3,4,4,4,1,4,3,4,1,2,1,1,1,1,1,3,1,1,1,3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,"Beeinflussung der Aushaltedauer bei unangenehmen Bildern durch positve Bilder im vorraus",2.2,2.25,2.75,2.5,1.5,2.75,2.25,2,3,2,1.75,2,1.75,3.66666666666667,1,1,1,1,1,1,3,1.5,1.5,2.31190476190476,1.33333333333333,1.82261904761905,NA,0,0.6841565611051299
222,"11/27/2017 16:29:00",5,1,23,1,4,5,5,4,3,4,5,5,5,5,4,3,3,4,4,4,3,3,3,4,5,3,4,2,2,4,2,4,5,5,2,5,3,4,4,5,5,4,5,3,3,4,4,5,2,5,4,4,3,5,4,5,3,3,4,4,5,1,1,1,1,1,1,1,4,1,1,2,1,1,1,2,2,1,1,1,3,3,1,2,1,2,3,2,2,3,2,1,2,1,4,1,1,1,"momentane gefÃ¼hlslage erfassen, reaktion auf unangenehme bilder",1,1,1.75,1.25,1.5,3.5,2,2.25,2.75,2.25,2.5,1.8,3,3.33333333333333,1.4,1,1.25,1.33333333333333,1.4,1.25,2.66666666666667,1.75,3,2.13452380952381,1.67222222222222,1.90337301587302,NA,0,0.6812103488084222
226,"11/27/2017 17:14:42",6,1,20,1,4,5,2,5,4,4,5,4,2,4,4,4,4,2,5,4,3,4,4,4,4,4,4,3,5,4,4,5,5,4,2,3,3,5,4,2,5,4,4,3,4,4,5,4,4,3,4,4,5,4,5,5,4,3,5,4,5,1,2,2,3,1,2,3,2,3,3,2,3,2,2,2,2,1,2,3,3,2,3,1,2,2,1,2,1,1,2,2,3,2,4,1,1,2,"Selbstzufriedenheit und Selbstsicherheit zu messen",1.6,2,2,4,1.25,1.5,1.25,2,2.25,2,2.25,1.4,2.25,3.33333333333333,2.8,1.6,1.5,2,1.8,2.25,3.33333333333333,2,1.5,2.07738095238095,2.08703703703704,2.08220899470899,NA,0,0.6922615230741138
229,"11/27/2017 17:16:00",5,1,21,1,4,4,5,5,4,5,5,5,4,5,3,3,5,3,5,3,4,4,5,5,5,5,5,4,4,5,4,5,5,5,3,3,4,5,5,5,2,5,5,5,5,5,5,2,4,5,5,5,5,3,4,5,5,3,4,4,2,2,1,1,1,1,2,1,1,3,3,2,3,1,2,1,5,2,3,2,2,2,2,1,2,1,1,2,1,2,1,2,3,2,4,1,1,1,"Reaktionen auf verschiedene emotional berÃ¼hrende Bilder zu testen, je nachdem in welcher persÃ¶nlichen GefÃ¼hls- und Stimmungslage sich die Person gerade befindet.",3.4,1,2.5,1.75,1.25,1.75,1.25,1.25,1.75,1,1.75,1,1.5,2.33333333333333,3,2,1,2,1.2,1.5,3,1.5,1.5,1.67738095238095,1.85555555555556,1.76646825396825,NA,0,0.689489195999841
230,"11/27/2017 17:16:11",5,1,22,1,4,4,4,4,3,5,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,3,1,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,4,1,1,1,1,1,"Keine Ahnung",4,2,2,2.25,2,2.75,2,2,2,1.75,3,2,2,1.66666666666667,1.6,1,1.25,1,1,1,1,1,1.25,2.24404761904762,1.12222222222222,1.68313492063492,NA,0,0.6867673464216515
231,"11/27/2017 17:16:28",3,1,26,1,4,4,3,5,3,3,4,5,4,3,3,3,5,4,5,4,4,3,3,5,5,3,4,4,3,2,3,5,5,5,3,2,3,4,4,5,1,5,4,3,4,3,5,2,3,5,4,5,3,5,5,5,4,3,4,3,1,1,1,1,1,1,1,2,2,1,1,1,1,3,3,3,1,1,2,4,1,1,3,1,3,3,1,1,1,1,2,2,1,1,3,1,1,1,"Unterbewusste Beeinflussung und geschicktes Herausfinden des aktuellen GemÃ¼tszustandes",4,1,1.75,2,1.25,3,2.25,2.25,2.5,2.5,2.75,1.2,2,3,2,1,1.5,1.66666666666667,1.2,2.25,1.66666666666667,2,1.25,2.24642857142857,1.61481481481481,1.93062169312169,NA,0,0.656957580725226
234,"11/27/2017 17:17:11",4,1,21,1,5,5,5,4,4,3,5,5,5,5,5,4,4,4,4,5,4,5,4,4,4,4,4,5,4,3,4,5,4,4,3,5,4,2,4,4,5,5,5,4,4,5,3,5,4,4,4,3,4,5,5,3,4,3,3,4,5,1,1,1,3,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,2,1,3,1,1,1,1,2,2,1,2,2,1,2,1,1,4," ",1,2,1,1.5,1.25,2,3,1.5,1.75,2.25,1.25,2.4,2,2.66666666666667,1.2,1,1,1,2.8,1,2.33333333333333,1.5,1.25,1.82619047619048,1.4537037037037,1.63994708994709,NA,0,0.6448845860432195
235,"11/27/2017 17:56:55",5,1,23,1,3,4,4,4,2,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,3,3,3,2,4,2,4,4,4,4,4,4,4,4,3,5,3,3,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,3,1,1,1,2,1,1,1,2,1,1,1,3,1,2,1,1,1,"Keine Ahnung",1.8,2,2.25,2.25,2,3.75,2,3,2.25,2.25,2.5,2.2,2.75,2,1.4,1,1,1.33333333333333,1.2,1.25,2.33333333333333,1.25,1.5,2.35714285714286,1.36296296296296,1.86005291005291,NA,0,0.6421657925045251
238,"11/27/2017 17:59:43",3,2,26,1,4,3,3,5,4,5,5,5,3,5,2,3,4,2,5,5,4,5,4,4,5,4,4,5,3,4,4,4,5,4,4,4,4,5,4,4,5,4,4,5,5,5,5,5,5,4,5,4,5,4,5,4,4,4,5,5,5,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,"Es ging um meinen emotionalen GefÃ¼hlsstand<br>",1.6,1.75,2.25,3,1.25,2,1.25,2,1.5,1.5,1.5,1.4,1.5,1.66666666666667,1.2,1,1,1,1,1,1.33333333333333,1,1.5,1.72619047619048,1.11481481481481,1.42050264550265,NA,0,0.6273902251972557
239,"11/27/2017 18:00:15",7,1,24,1,5,4,3,5,3,2,4,5,3,5,1,2,3,2,5,4,5,5,5,5,5,5,5,4,4,5,3,3,4,2,4,1,4,4,4,5,1,2,4,5,5,5,5,1,4,5,5,5,3,1,3,2,4,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,3,1,4,1,3,1,1,1,"Negatives bzw Positives Priming und dann Auswirkung auf Emotionen",4.4,2.5,4,2.75,2.25,2.75,1.25,1.5,2.25,2,2,1.2,1.25,1.33333333333333,2.6,1,1,1.66666666666667,1,1,2.33333333333333,1,1,2.24523809523809,1.4,1.82261904761905,NA,0,0.6359296615119524
243,"11/29/2017 14:51:44",4,1,20,1,4,5,5,5,3,4,5,5,5,4,4,4,3,5,4,4,5,4,5,4,5,3,5,5,4,4,4,4,5,5,3,2,4,4,4,4,1,4,5,4,5,4,4,4,5,5,3,4,4,4,5,5,4,5,5,4,3,1,3,2,1,1,1,1,1,3,2,1,3,2,4,4,4,1,2,1,2,2,2,2,1,2,2,3,3,2,2,3,4,1,4,1,1,2,"Wahrnehmung des eigenen Selbstwerts und sozialer Beziehungen (je schneller man die Bilder wegklickt, desto positiver nimmt man sich und seine sozialen Beziehungen war?)",3,1,2,1.25,1.25,2.25,1.5,1.5,2.25,2.5,1.75,1.6,1.25,2,2.8,1.2,1.5,1.66666666666667,2.2,1.75,3,3.25,1.5,1.79285714285714,2.0962962962963,1.94457671957672,NA,0,0.6266288983300181
244,"11/29/2017 14:51:58",7,2,24,1,4,4,4,5,4,4,5,5,4,2,4,1,4,4,4,5,5,3,4,4,5,4,4,3,4,4,4,5,5,4,2,3,4,4,4,4,1,4,4,4,5,3,3,3,5,4,4,4,4,5,5,4,4,4,5,3,2,1,3,2,1,1,1,1,2,1,2,2,4,1,2,3,2,2,1,3,4,2,4,1,1,2,3,4,1,2,2,1,2,1,2,1,1,1," ",3.4,1.75,1.5,2,1,2,1.5,2,2.5,2,3.75,2,1.25,2.66666666666667,2.4,1.4,1.5,1.33333333333333,1,1.75,3.33333333333333,2.5,2.25,2.09404761904762,1.94074074074074,2.01739417989418,NA,0,0.6386880705966771
249,"11/29/2017 14:52:49",6,1,21,1,5,5,3,5,2,3,5,5,5,5,2,1,5,4,4,4,5,5,5,5,5,4,5,5,3,5,3,5,5,5,2,1,4,5,4,5,1,2,5,5,5,5,5,2,4,5,5,3,2,3,5,5,5,4,5,5,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,5,1,3,1,1,1,"Zusammenhang von emotionalem Zustand und Umgang mit unangenehmen Bildern",4,1,3.25,1.75,1,3.5,1,1,1.25,2,2,1.6,1.25,2.33333333333333,1.8,1,1,1,1.4,1,3.33333333333333,1,1.25,1.92380952380952,1.42037037037037,1.67208994708995,NA,0,0.646509996453392
250,"11/29/2017 14:52:50",3,1,22,1,5,5,5,5,3,4,5,3,5,5,5,1,4,5,4,5,5,5,5,5,5,4,3,1,5,2,4,5,4,4,1,2,3,4,5,4,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,4,3,5,5,5,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,"Herauszufinden, wie Begriffe oder Bilder, die uns widerholt dargeboten werden, auf unsere SelbsteinschÃ¤tzung wirken",1.6,1.75,1,1.25,1,1.75,2,1.25,1.75,1.5,3,2,1,3.66666666666667,1.8,1,1,1,1,1,1.66666666666667,1.5,1.25,1.75119047619048,1.2462962962963,1.49874338624339,NA,0,0.624811387443528
251,"11/29/2017 14:53:01",8,1,22,1,3,2,3,5,3,4,4,4,3,5,4,4,4,2,3,4,5,4,4,5,5,4,5,5,3,5,3,4,3,4,5,4,4,4,5,4,1,4,5,5,5,4,3,2,4,4,5,5,3,4,4,4,3,5,5,4,1,1,1,1,1,2,1,2,1,2,2,1,4,3,2,2,1,1,2,1,3,1,1,1,2,2,1,1,3,1,2,2,3,1,2,1,1,1,"Emotionen testen",4,2,2,3,1.75,3,1.25,2.25,2,1.5,1.5,2.2,1.25,1,1.6,1.2,1.5,1.66666666666667,1.6,2,3,1.5,1,2.05,1.67407407407407,1.86203703703704,NA,0,0.6504762162673342
252,"11/29/2017 14:53:14",6,2,22,1,4,5,5,4,4,2,5,4,4,4,3,3,5,5,5,5,5,4,5,5,5,4,4,3,4,5,4,5,5,5,5,5,4,5,4,5,5,1,4,3,4,5,5,5,5,5,5,4,4,4,5,5,4,2,4,4,5,1,1,2,1,1,1,2,2,2,1,3,2,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,5,1,3,1,1,1,"Wie sich eine Beziehung auf Personen auswirkt. Sind sie glÃ¼cklicher oder weniger glÃ¼cklich mit ihrem Leben. Wie zufrieden ist man wenn man gleichzeitig einen unterstÃ¼tzenden Freundeskreis um sich hat.",1,1.25,2.75,1.25,1,2,1.5,1.75,1.75,2.25,2.25,1.4,1.25,2.66666666666667,2.2,1,1.5,1.33333333333333,1,1.75,2,1.25,1.75,1.71904761904762,1.53148148148148,1.62526455026455,NA,0,0.6615954671263413
254,"11/29/2017 14:54:04",4,2,24,1,2,5,5,5,5,5,5,5,5,1,5,5,2,5,5,5,5,5,2,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,4,5,3,5,4,5,5,4,3,5,4,5,5,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,4,1,2,1,2,1,1,4,3,3,2,3,4,1,3,1,1,1,1,1,"Ob sich das Antwortverhalten bei leicht angepasster Fragestellung Ã¤ndert.",1,1.25,1,1,1,1.5,1.25,3.75,1.75,1.75,2,1,2,1,1.6,1,1.75,3,1.2,2,1.33333333333333,1,2.25,1.51785714285714,1.68148148148148,1.59966931216931,NA,0,0.6453430015028797
255,"11/29/2017 15:26:10",6,2,22,1,3,5,5,5,4,5,5,5,3,4,3,1,4,5,5,4,5,5,4,5,5,2,5,1,4,5,2,5,5,4,5,4,5,5,5,5,2,5,3,5,5,5,5,5,5,3,5,5,4,3,5,4,3,5,5,5,4,1,1,1,1,2,1,1,1,1,1,1,3,2,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,"Herauszufinden wie die Probanden ihre eigene LebensqualitÃ¤t einschÃ¤tzen",2,2,2.25,1.5,1,2.5,1,2.75,1.25,1.75,3.25,1,1,1,1.4,1,1.25,1,1,1.25,2.66666666666667,1.5,1,1.73214285714286,1.34074074074074,1.5364417989418,NA,0,0.6564183999570018
256,"11/29/2017 15:26:25",5,2,21,1,4,5,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,5,3,4,4,4,4,5,3,4,4,3,4,4,4,4,4,3,3,4,3,5,4,5,5,3,4,4,4,5,4,3,4,4,5,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,3,2,1,1,2,3,1,2,2,1,1," ",1.4,1.5,2,2.25,2,2.5,2.25,2,1.75,1.75,1.75,2.4,2.25,3,1.6,1.4,1.5,1.33333333333333,1.6,2.25,2,1,1.25,2.05714285714286,1.54814814814815,1.8026455026455,NA,0,0.6542479696164208
257,"11/29/2017 15:26:27",6,1,21,1,3,2,4,4,2,3,4,5,4,5,5,4,3,3,4,5,4,4,3,4,5,3,5,4,2,5,3,4,5,5,5,3,4,5,4,2,1,4,4,5,4,4,4,2,5,5,4,4,3,5,5,5,3,4,4,4,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,"Emotionen im Zusammenhang mit unangenehmen Bildern",4.2,1,1.25,2.75,1.5,3.5,1.5,2.75,2.25,2.5,1.75,1.6,1.75,1.33333333333333,1.8,1.2,1,1,1,1,2.33333333333333,1.25,1.25,2.11666666666667,1.31481481481481,1.71574074074074,NA,0,0.6675908753576623
259,"11/29/2017 15:26:53",4,2,26,1,4,5,5,3,4,2,4,3,3,4,5,4,3,4,4,3,4,4,4,4,5,3,4,5,3,4,4,4,4,3,3,3,4,4,2,4,5,5,4,4,3,4,4,5,5,5,4,4,4,5,4,3,5,4,4,3,5,2,2,2,2,1,3,2,2,1,1,4,3,2,2,4,1,1,3,1,3,2,1,2,2,3,3,1,4,1,2,2,1,1,2,1,2,2,"herauszufinden wie ansprechend ich gewalt finde",1.4,2.5,1.5,2,1.75,2.25,2.25,1.75,2.5,3.25,1.75,2,2,2.33333333333333,1,1.8,1.75,2,2.4,1.75,2.66666666666667,2.5,2.5,2.08809523809524,2.04074074074074,2.06441798941799,NA,0,0.6492668031226093
260,"11/29/2017 15:27:03",3,2,30,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"weiÃŸ ich nicht",1,1.5,1,1,1,1.5,1,1,1,1,1.25,1,1,1,1.8,1,1,1.33333333333333,1,1,1.66666666666667,1,1,1.08928571428571,1.2,1.14464285714286,NA,0,0.621475180303255
262,"11/29/2017 15:31:38",7,1,27,1,5,5,5,5,3,5,5,4,5,5,3,4,5,3,4,5,5,4,5,5,5,4,4,2,3,5,4,5,5,4,3,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,1,1,1,1,1,1,2,3,1,1,1,4,3,1,1,1,1,1,1,3,2,1,1,1,1,1,2,3,1,1,1,1,1,3,1,1,1,"ich weiÃŸ es nicht",1,1.5,1.75,1.5,1,2.5,1.25,1,1.25,1.25,2.25,1.6,1,1.66666666666667,1,1,1,1,1.4,2,3.33333333333333,1.25,1.5,1.46547619047619,1.49814814814815,1.48181216931217,NA,0,0.6423738009050587
264,"11/29/2017 15:36:39",6,1,22,1,3,5,4,4,4,5,5,5,4,5,3,2,4,3,5,4,4,3,4,4,5,3,4,3,4,4,3,4,5,5,4,5,4,3,5,5,5,4,3,5,4,5,4,5,4,5,4,3,4,5,4,5,3,5,4,3,5,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,4,3,3,3,2,1,3,2,1,4,2,2,1,3,2,4,1,1,1,"Die Wirkung von Bildern in Verbindung mit den eigenen Emotionen",1,1,2,2,1.5,2.25,2.25,2.75,2.5,1.75,2.25,1.8,2,1.33333333333333,2.6,1,1.75,2,2,1,3,1.75,2,1.88452380952381,1.9,1.8922619047619,NA,0,0.6549551103278108
269,"11/29/2017 16:19:09",6,2,20,1,5,5,3,4,5,4,5,4,3,4,4,3,5,3,4,4,4,4,5,4,4,4,5,2,4,4,5,4,4,4,4,5,4,3,4,3,5,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Emotionen",1,2,2,3,1.75,1.5,2.25,1.5,1.75,1.75,2.75,1.8,1.75,1.66666666666667,1,1,1,1,1,1,1,1,1,1.89047619047619,1,1.4452380952381,NA,0,0.6697363567311972
270,"11/29/2017 16:19:23",5,1,22,1,5,3,3,5,4,5,5,5,3,4,4,4,5,3,5,4,4,5,5,5,5,4,4,3,3,3,4,5,5,5,3,3,4,4,4,4,1,4,5,4,4,4,4,2,4,5,5,4,4,4,5,5,5,4,5,5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,"GefÃ¼hle analysieren",3.8,1,2,2.75,1,2.25,1.75,1,1.25,1.5,2.25,1.6,1.75,2.33333333333333,2.2,1.2,1,1.33333333333333,1,1,1,1,1,1.87380952380952,1.19259259259259,1.53320105820106,NA,0,0.6678220703294204
271,"11/29/2017 16:19:36",5,2,23,1,4,4,3,5,3,5,4,3,3,5,3,4,4,2,5,5,5,5,4,5,4,3,5,3,3,5,3,4,5,4,5,2,4,5,5,4,1,4,4,5,5,4,5,3,5,4,5,4,5,4,4,4,3,4,5,5,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,1,"Zu wissen, ob Herbst einen Einfluss auf unsere GefÃ¼hle hat.",3.8,2.25,2,3,2,2.5,1,2.25,1.5,1.5,2,1.2,1,1.33333333333333,2,1.2,1.25,1.66666666666667,1,1,2,1,1,1.95238095238095,1.3462962962963,1.64933862433862,NA,0,0.6659312705763147
277,"11/29/2017 16:52:13",5,2,20,1,5,2,2,4,3,2,4,2,2,3,2,3,4,2,4,4,4,5,4,5,5,4,4,3,4,4,4,4,4,3,2,2,4,4,3,3,1,3,5,2,5,4,3,1,4,4,4,3,4,4,5,4,4,2,5,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,"Zusammenhang zwischen aktueller GemÃ¼tslage und emotionaler Wahrnehmung von Bildern",4.6,2.75,2.75,3.75,1.5,2.25,1.75,1.5,1.5,2.75,2.75,2.4,1.5,4,2,1.2,1,1,1.4,1,1.33333333333333,1.25,1,2.55357142857143,1.24259259259259,1.89808201058201,NA,0,0.6640633712046038
278,"11/29/2017 17:01:27",5,1,22,1,2,5,5,5,3,5,5,5,5,5,5,4,3,3,5,5,5,3,2,4,5,4,5,1,4,5,2,5,5,5,3,5,3,5,4,3,1,4,2,5,4,4,5,5,4,5,5,5,4,5,5,5,4,5,5,3,3,1,1,2,2,2,2,1,1,2,1,4,4,2,3,4,3,1,3,2,3,2,2,1,2,3,1,3,2,1,3,2,5,2,5,1,2,1,"Zu ermitteln wie meine GefÃ¼hlslage zu dieser Jahreszeit ist ?",2.2,1,1.25,2,1,2.75,1,3.5,3,1.5,2.5,1,1.75,1.66666666666667,2.8,1.4,2,2.66666666666667,1.6,2,4,2.5,1.75,1.86547619047619,2.30185185185185,2.08366402116402,NA,0,0.6622178086860844
