"CASE","SERIAL","subject_id","Pos","bet.ges...ms.3","STARTED","BI01","BI02","SS01_01","SS01_02","SS_Score","FF01_01","FF01_02","FF01_03","FF01_04","FF01_05","FF01_06","FF01_07","FTF6_Score","OP01_01","OP01_02","OP01_03","OP01_04","OP01_05","OP01_06","OP01_07","OP01_08","OP01_09","OP01_10","Opt_Score","Pess_Score","ME01","ME09","ME02","ME02_05","ME03","ME04","ME05","ME05_01","ME05_02","ME05_03","ME05_08","ME05_10","ME05_05","ME05_05a","ME05_06","ME05_06a","ME06","ME06_05","ME06_01","ME06_02","ME06_03","ME06_04","ME06_06","ME10","PT01_01","PT02","PT02_01","DE01","DE02_01","DE05","DE06","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
181,NA,"lcygp1v9",43,17577,"19.03.2017 22:45",5,4,2,5,1.5,2,5,4,6,2,5,6,4,3,4,2,3,5,2,3,3,2,3,3,2.333333333,1,3,5,"26",1,2,5,2,2,1,2,1,2,"christliche Rockmusik",2,"Heilige Messe",5,2,2,1,2,2,2,5,"Korrelation von Gebetsleben und der Haltung zum Leben",1,"Die Dauer der Bilder und die fehlende Erklärung dazu.",1,26,1,NA,8,9,13,102,71,7,117,105,10,13,455,NA,"19.03.2017 22:52",1,0,10,10,0,0,1.1,10,0.5965675808816254
284,NA,"uskcnnrs",45,27051,"21.03.2017 06:48",5,4,3,3,3,5,3,4,4,1,2,6,3.166666667,3,3,3,3,5,2,2,1,4,3,3,3,1,4,5,"24",1,3,6,2,2,2,2,2,2,"mehrmals täglich",1,"",6,2,2,2,2,2,2,4,"Inwieweit die gesehen Bilder Auswirkungen haben auf die Einschätzung zum Thema Gebet.
Evtl. Konditionierung durch Töne in verschiedenen Höhen",1,"Die Fragen bzw. teilweise die Antwortmöglichkeiten waren an mehreren Stellen unglücklich bzw. zu undifferenziert gestellt. Sieben statt fünf Auswahlmöglichkeiten wären durchweg wohl besser, um ein differenziertes Ergebnis zu bekommen.

Bei der Frage nach der Häufigkeit des Gebets ist die Option ""täglich"" nicht eindeutig und nicht aussagekräftig bis differenzierungsfähig für Menschen, die einmal oder mehrmals am Tag beten.
Besonders unpassend fand ich Frage und Antwortmöglichkeiten zum Thema ""Auswirkungen des Gebets"". Zum Einen begegnen einem betenden Menschen nach wie vor gute und schlechte Dinge. Insofern hat das Gebet keine verändernden Auswirkungen (eher noch, dass der betendene Mensch mehr zu tragen bekommt).
Auf der anderen Seite bringt das Gebet Gott nichts, auf ihn hat es keine Asuwirkungen, aber es ist für den Menschen zutiefst sinnvoll, weil es seiner Natur entspricht (damit meine ich nicht psychologische Effekte bzw. das man beispielsweise eine mehr oder weniger ""religiöse Erfahrung"" auch künstlich hervorrufen kann. Das man nach dem Vorbild eines Vogels ein Flugzeug bauen kann, bedeutet ja auch nicht, dass der Vogel nur ein Produkt der Psychologie ist, weil man einen Flugkörper auch künstlich hervorbringen kann.",2,26,1,NA,10,15,21,70,94,8,139,592,13,18,463,NA,"21.03.2017 07:04",1,0,10,10,0,0,0.81,1,0.553933244649393
7,NA,"x34ecy7q",52,1169700,"11.03.2017 12:16",3,NA,4,3,3.5,6,6,3,6,2,3,6,4.333333333,4,4,3,5,5,5,1,3,2,4,4.333333333,2,1,4,4,"",3,1,4,2,2,2,1,2,1,"",1,"",3,1,2,1,2,2,1,4,"",2,"",1,26,2,3,8,14,32,49,8,73,19,11,27,NA,176,NA,"11.03.2017 12:20",1,0,9,9,3,2,1.48,104,0.566900563453352
322,NA,"13ogr5wn",43,7851,"22.03.2017 12:57",5,4,2,3,2.5,2,2,2,3,1,2,5,2,4,3,2,4,5,3,2,4,2,4,4,2,1,3,4,"",2,2,2,2,2,1,1,1,1,"",1,"",5,2,2,2,2,1,2,5,"Vielleicht wie sich Gebet auf die Wahrnehmung und die Sicht auf die Welt auswirkt?",2,"",1,27,1,NA,11,9,40,114,122,8,83,224,11,20,642,NA,"22.03.2017 13:07",1,0,10,10,0,0,0.82,2,0.5152127303415854
100,NA,"38pl1rty",53,12560,"19.03.2017 17:08",5,4,1,5,1,2,3,3,4,2,2,5,2.666666667,5,3,1,5,5,3,2,4,1,5,5,1.333333333,1,4,5,"24",2,1,2,2,2,1,1,1,1,"",1,"",5,2,2,2,2,1,2,5,"- ob Personen, die beten, optimistischer sind als Menschen, die nicht beten",1,"die Einstimmung mit Gebet/Bildern/Musik, aber ich vermute, das soll mich emotional auf die Fragen vorbereiten und mir zeigen, was einem im Leben alles positiv wie negativ widerfahren kann",1,27,1,NA,7,8,12,64,84,5,66,103,10,13,372,NA,"19.03.2017 17:14",1,0,10,10,0,0,1.27,16,0.5334711055226486
270,NA,"4ntzjcy4",55,1063384,"20.03.2017 21:18",4,4,3,3,3,3,3,4,4,1,4,4,3.166666667,3,3,4,5,5,5,3,4,2,4,4,3,1,4,4,"",1,2,3,2,2,1,2,1,1,"",1,"",6,2,2,2,2,2,2,5,"das würde mich interessieren :)",1,"",1,27,1,NA,23,26,23,88,151,9,85,49,13,21,488,NA,"20.03.2017 21:26",1,0,10,10,3,3,0.83,3,0.5688189663369477
70,NA,"989br0o0",49,8760,"19.03.2017 12:41",4,4,4,5,2.5,4,5,6,6,1,3,5,4.166666667,3,2,4,3,5,4,2,3,4,4,3.333333333,3.333333333,1,3,4,"",1,1,3,2,2,2,1,1,1,"",1,"",2,1,2,1,2,1,1,5,"Haltung zu Gebet und Wirkung von Gebet.",1,"Die Bilder.",1,27,1,NA,9,12,14,38,54,5,50,35,7,21,245,NA,"19.03.2017 12:45",1,0,10,10,0,0,1.47,25,0.5586199201766443
227,NA,"9dhq78zy",51,7560,"20.03.2017 11:52",5,3,2,2,3,1,2,2,4,1,2,3,2,3,3,1,3,5,3,2,4,4,4,3.333333333,2.333333333,1,3,4,"",1,1,2,2,2,1,1,1,1,"",1,"",4,2,2,2,2,1,1,4,"Ob das sich konzentrieren auf eine höhere Macht optimistischer macht.",1,"Nicht immer bewirkt beten einen andächtigen Zustand. Vor allem, wenn man häufig über den Tag hinweg mit Gott spricht. Beten ist dann etwas normales und meistens nicht mit einem besonderen Gefühl verbunden.",1,27,1,NA,5,6,29,80,90,6,106,179,10,13,524,NA,"20.03.2017 12:01",1,0,10,10,0,0,1.12,13,0.5639856709416093
26,NA,"an9e0fn5",46,611971,"18.03.2017 22:59",3,5,1,5,1,1,1,3,2,1,2,7,1.666666667,4,2,1,3,5,3,1,4,1,5,4,1,1,4,3,"",1,4,4,2,2,1,2,1,2,"schriftlich",1,"",4,2,2,2,2,1,1,5,"Ich weiß es nicht genau, villeicht ob sich Gebet auf die Lebenseinstellung auswirkt?",1,"Die Bilder waren gruselig. Ich habe mich gefragt was genau untersucht wird und warum ich solche Bilder sehen musste. Ich habe vielleicht zu viele gruselige Filme gesehen, aber ich war besorgt, was die Bilder mit mir machen. 
Mir ist aufgefallen dass es später immer mehr negative Bilder wurden als positive",1,27,1,NA,5,5,13,85,72,5,65,181,9,30,470,NA,"18.03.2017 23:07",1,0,10,10,0,0,1.28,20,0.5321328968138735
161,NA,"e6bn9d1b",56,19412,"19.03.2017 21:37",5,5,2,5,1.5,1,1,2,3,1,1,7,1.5,4,3,2,4,5,2,1,3,1,5,4.333333333,1.333333333,1,4,5,"26",1,1,3,2,1,1,2,2,1,"",1,"",2,2,1,1,1,1,2,5,"Wie beeinflusst das Beten die Lebenseinstellung eines Menschen?",2,"",1,27,1,NA,9,6,22,55,75,7,106,64,46,14,404,NA,"19.03.2017 21:44",1,0,10,10,0,0,1.06,7,0.5759057222269292
198,NA,"f8kdo5t8",52,12821,"19.03.2017 23:53",5,1,3,4,2.5,3,5,3,6,3,4,5,4,3,4,5,3,3,5,2,2,3,4,3.333333333,3.333333333,1,3,4,"",4,2,3,2,2,1,2,1,1,"",1,"",4,2,2,2,1,1,2,4,"Ob man Gott ""erleben"" kann bzw. bei wie vielen Menschen Gott tatsächlich spricht oder existent ist.",1,"Die Bilder am Anfang",2,27,1,NA,6,5,15,46,81,4,62,119,8,19,365,NA,"20.03.2017 00:00",1,0,10,10,0,0,1.39,22,0.5901641245812459
150,NA,"jjhs5zfv",45,7762,"19.03.2017 20:41",5,5,1,2,2.5,1,1,1,4,1,7,7,2.5,5,5,2,3,4,2,2,3,1,5,4.333333333,1.666666667,1,4,4,"5",1,1,6,2,2,2,2,2,2,"Sprachengebet",1,"",6,2,2,2,2,2,2,5,"Auswirkungen von christlichem Gebet auf die Psyche und das Leben",1,"Gegen die Welt (Gutes und Schlechtes vermischt anstatt nur Gutes) sucht man bei Gott Schutz. Genauso habe ich es erwartet und entsprechend gebetet im Voraus",2,27,1,NA,4,5,13,26,42,4,93,128,7,26,348,NA,"19.03.2017 20:47",1,0,10,10,0,0,1.62,35,0.5485280156307846
328,NA,"jvjtllxz",53,15976,"22.03.2017 14:31",5,5,3,2,3.5,1,2,4,2,1,1,7,1.833333333,5,3,4,3,5,4,2,4,2,5,4.333333333,2.666666667,1,4,5,"18",1,5,3,2,2,1,2,1,1,"",1,"",6,2,2,2,2,2,2,5,"die Auswirkung von Gebet auf die grundsätzliche Einstellung zum Leben ",2,"",1,27,1,NA,9,6,30,74,83,9,102,79,18,25,435,NA,"22.03.2017 14:38",1,0,10,10,0,0,0.93,3,0.5694795517670482
65,NA,"kobh42wc",52,19483,"19.03.2017 11:36",5,5,4,2,4,1,1,7,4,1,6,6,3.333333333,4,2,5,2,4,5,5,4,1,4,3.333333333,3.666666667,1,4,5,"13",1,3,3,2,2,1,2,1,1,"",1,"",4,2,2,2,1,1,2,4,"ob gebet etwas an der psyche des Menschen verändert",2,"",1,27,1,NA,7,9,17,46,61,4,61,30,18,9,262,NA,"19.03.2017 11:40",1,0,10,10,0,0,1.51,27,0.5835819222396694
371,NA,"nfjftp0u",47,604290,"26.03.2017 14:10",5,3,4,3,3.5,6,7,5,7,2,2,5,4.833333333,3,3,2,4,4,4,3,3,3,2,3,2.666666667,1,2,5,"15",2,2,2,2,1,1,1,2,1,"",1,"",4,2,2,1,2,1,2,4,"",1,"Sterbende Menschen und wo sie danach hingehen",2,27,2,2,9,17,18,60,66,6,86,26,10,16,314,NA,"26.03.2017 14:15",1,0,10,10,3,2,1.27,16,0.5574290931091088
43,NA,"our6dgas",48,6842,"19.03.2017 00:46",5,5,3,3,3,1,5,4,7,1,1,5,3.166666667,2,4,3,5,5,5,2,4,5,3,3.333333333,3.333333333,1,3,4,"",2,1,2,2,2,1,1,1,1,"",1,"",2,2,2,1,1,1,1,4,"",2,"",2,27,1,NA,10,7,16,48,291,5,65,12,15,15,484,NA,"19.03.2017 00:54",1,0,10,10,3,2,1.33,38,0.5403064480561535
74,NA,"rqrrmb9o",48,360143,"19.03.2017 13:11",5,5,3,2,3.5,4,4,7,5,4,5,1,4.833333333,3,3,3,3,4,4,4,2,3,3,3,3.333333333,1,3,5,"17",1,2,5,2,2,2,2,1,2,"Psalmen oder anderes aus der Bibel",1,"",6,2,2,2,2,2,2,4,"Den Zusammenhang zwischen Gebet und der Sicht auf die Umwelt/das Weltgeschehen, evtl. im Zusammenhang mit externer/interner Kontrollüberzeugung.",1,"Das Thema der Studie wurde nicht genannt. Das hat mich verwundert. Die Bilder am Anfang habe ich auch nicht verstanden, aber so ergibt alles Sinn.",2,27,1,NA,6,6,26,65,70,5,98,100,9,11,396,NA,"19.03.2017 13:18",1,0,10,10,0,0,1.25,15,0.5239662808497109
297,NA,"xevlousa",50,12459,"21.03.2017 13:23",5,5,5,3,4,1,1,1,3,1,3,7,1.666666667,5,3,1,4,5,3,3,4,1,1,3.333333333,1.666666667,1,4,5,"11",1,1,4,2,2,2,2,1,1,"",1,"",4,2,2,2,2,1,1,5,"Ist mal Interresannt was Ihr zu studieren versucht....Es ist nicht möglich Jesus zu studieren genauso ist es nicht möglich herrauszufinden wie die Erde entstanden ist oder wie das Leben Funktioniert....Wenn Sie wissen möchten wer Jesus wirklich ist, wie die Erde endstanden ist, wie gewanltig ja sogar noch mehr Macht das Gebet hat dann lesen Sie die Biebel befassen Sie sich damit fangen Sie an zu beten und Ihr Leben Ihr wissen und Ihre Macht wie Ihre Vorstellungen sprengen.",1,"",2,27,1,NA,14,11,18,48,84,6,80,298,15,16,590,NA,"21.03.2017 13:33",1,0,10,10,3,3,0.97,5,0.5219157004710875
42,NA,"y0accjyp",51,274992,"19.03.2017 00:35",5,5,3,5,2,1,1,3,4,1,1,1,1.833333333,4,5,2,4,5,3,4,4,1,4,4,2.333333333,1,4,5,"20",1,3,4,2,2,2,2,1,1,"",1,"",6,2,2,2,2,2,2,5,"Ob gläubige Menschen eine positivere Einstellung zum Leben haben?",1,"Was war das mit den Bildern",1,27,1,NA,13,11,31,111,114,11,166,84,11,33,585,NA,"19.03.2017 00:45",1,0,10,10,0,0,0.75,1,0.526980663945065
349,NA,"znkmemzq",57,682340,"23.03.2017 20:06",4,5,3,4,2.5,5,4,1,3,1,1,7,2.5,4,2,2,4,4,4,1,4,1,5,4.333333333,1.333333333,1,4,4,"",1,2,4,2,2,2,1,2,1,"",1,"",4,2,2,2,2,1,1,5,"",-9,"",2,27,1,NA,11,5,26,37,66,4,69,8,9,15,250,NA,"23.03.2017 20:10",1,0,10,10,6,5,1.54,60,0.5794216088313798
401,NA,"ztdhg6aq",59,81077,"08.04.2017 01:01",4,2,4,2,4,6,6,3,3,2,2,4,3.666666667,4,4,1,3,3,4,1,1,2,3,3.333333333,1.333333333,1,1,5,"27",4,1,1,1,1,2,1,1,1,"",1,"",1,1,2,1,1,1,1,3,"Beeinflussen die Bilder mein Denken, wenn ich bete?",1,"Es kamen keine Fragen zu den Bildern",2,27,1,NA,6,5,6,53,83,2,26,35,7,9,232,NA,"08.04.2017 01:05",1,0,10,10,0,0,2.06,65,0.6585361453964207
221,NA,"181xlzt9",52,21224,"20.03.2017 10:27",5,5,3,4,2.5,6,7,6,6,2,3,5,5,4,5,3,3,5,2,4,4,2,4,3.666666667,3,1,3,5,"14",1,2,4,1,2,2,2,1,2,"hörendes Gebet",1,"",3,2,2,1,2,1,1,4,"Ob Gebete Auswirkungen auf das Weltgeschehen oder das Leben des Betenden haben.",1,"Der Sinn des Bilderblocks und der Töne war etwas verstörend und viele Bilder waren doppelt, Was das mit Beten zu tun hat, hat sich mir nicht erschlossen.",2,28,1,NA,12,8,40,77,110,11,160,206,17,28,669,NA,"20.03.2017 10:39",1,0,10,10,0,0,0.71,1,0.677063732746029
109,NA,"21veuj14",51,270181,"19.03.2017 17:48",5,3,2,5,1.5,1,4,4,1,1,1,7,2,2,3,2,2,5,1,2,3,1,4,2.666666667,1.666666667,1,4,5,"0,24",2,3,5,2,2,2,2,1,2,"füreinander beten",1,"",5,2,2,2,2,1,2,5,"Ob Gebet Auswirkungen auf den Optimismus oder Pessimismus einer Person hat?",2,"",1,28,1,NA,7,30,22,114,132,8,190,161,15,23,702,NA,"19.03.2017 17:59",1,0,10,10,0,0,0.74,2,0.6857917298036906
169,NA,"5547hwe5",49,23089,"19.03.2017 22:02",5,3,2,2,3,6,6,4,5,2,4,4,4.5,3,3,3,2,3,2,4,2,3,4,3,3.333333333,1,3,4,"",3,1,5,2,2,2,2,2,1,"",1,"",6,2,2,2,2,2,2,4,"In wie weit Gebet von der eigenen Eintellung abhängt.",1,"Bilder und Ton",1,28,1,NA,10,9,17,36,66,9,55,31,11,17,261,NA,"19.03.2017 22:07",1,0,10,10,0,0,1.33,18,0.673071721691812
72,NA,"c6d6a9s1",55,26633,"19.03.2017 12:45",3,5,1,5,1,4,5,1,1,1,1,7,2.166666667,5,5,1,5,5,3,2,4,1,5,5,1.333333333,1,4,5,"28",1,5,4,2,2,2,2,1,1,"",1,"",6,2,2,2,2,2,2,5,"Die Auswirkung von Gebet in Verbindung mit der Psychologie, die Beeinflussung des Gebets auf Töne, welche konditioniert mit Bildern gezeigt werden und auf die darauffolgenden Fragen",1,"Die Bilder haben so ziemlich nichts mit Beten zu tun, reine Psychologie",1,28,1,NA,7,10,8,29,53,7,45,82,8,12,261,NA,"19.03.2017 12:50",1,0,10,10,0,0,1.58,30,0.7261139251945716
60,NA,"cma9acbw",44,8768,"19.03.2017 10:11",2,2,4,5,2.5,2,2,6,3,1,1,4,2.5,4,2,3,2,4,4,2,4,1,1,2.333333333,2,1,3,4,"",1,1,4,2,2,2,2,1,1,"",1,"",4,2,2,2,2,1,1,5,"",1,"Die Töne sind sehr unüblich ",1,28,1,NA,6,5,9,15,29,5,33,27,8,2,139,NA,"19.03.2017 10:13",1,0,10,10,3,2,2.35,104,0.6566152000176175
76,NA,"hfs2j1cx",48,7067,"19.03.2017 13:50",5,5,2,5,1.5,7,4,2,7,4,6,7,5,4,2,4,3,5,3,2,3,2,3,3.333333333,2.666666667,1,4,5,"25",1,2,2,2,2,1,1,1,1,"",1,"",3,2,2,1,2,1,1,5,"Ob Menschen sich vorgaukeln, dass sie sich besser fühlen wenn sie beten. Das Beten nur eine ""Chemische Reaktion"" im Hirn freisetzt, die die Menschen glücklich mache.  
",1,"Was genau die Bilder am Anfng mit den Fragen am Ende zu tun haben frage ich mich schon... ",2,28,1,NA,6,10,14,55,69,9,66,115,11,16,371,NA,"19.03.2017 13:56",1,0,10,10,0,0,1.16,10,0.635065399222429
34,NA,"hhcxo3v4",59,9978,"18.03.2017 23:45",5,3,3,5,2,5,2,6,2,2,2,7,3.166666667,3,3,3,2,4,2,4,4,3,4,3,3.333333333,1,3,5,"20",2,2,1,1,2,1,1,1,1,"",1,"",4,1,2,2,2,1,2,4,"Ob das Gebet irgendeinen Einfluss auf die Lebensqualität hat",2,"",1,28,1,NA,8,9,15,30,45,5,52,32,12,12,220,NA,"18.03.2017 23:48",1,0,10,10,0,0,1.57,29,0.7243022903093591
254,NA,"hn9khee5",55,107758,"20.03.2017 19:14",5,4,1,3,2,1,4,4,3,1,3,4,2.666666667,3,4,2,5,5,3,2,2,3,4,4,2.333333333,1,4,5,"25",1,2,3,2,2,1,2,1,1,"",1,"",5,2,2,2,2,1,2,5,"Wie der Charakter und die Einstellung von Menschena ist, die beten.",2,"",1,28,1,NA,10,17,27,107,100,15,100,90,18,10,494,NA,"20.03.2017 19:22",1,0,10,10,0,0,0.85,5,0.7822572606622087
8,NA,"nz5jo9vr",45,6376,"11.03.2017 21:52",4,NA,2,3,2.5,6,6,3,7,4,6,3,5.333333333,2,1,2,2,2,1,2,5,4,2,2,2.666666667,1,2,4,"",3,1,2,2,2,1,1,1,1,"",1,"",4,2,2,1,2,1,2,3,"",2,"",1,28,1,NA,5,6,27,47059,4,51,7,9,13,NA,135,NA,"12.03.2017 10:58",1,0,9,9,3,3,1.61,160,0.7175279385453944
434,NA,"olvygu4g",53,22931,"24.04.2017 21:01",5,4,3,2,3.5,5,5,7,5,1,6,4,4.833333333,3,3,3,3,3,1,3,4,3,4,3.333333333,3,1,3,5,"20",3,2,3,2,1,1,2,1,2,"In Stille hörend",1,"",2,1,2,1,1,1,2,2,"keine Ahnung",1,"positive Bilder waren mit einem wohlklingenden Ton verbunden und negative mit einem unangenehm klingenden Ton, viele Bilder wurden wiederholt wie durch Zufall, was hat das mit Gebet zu tun? Manche Bilder haben mich erschreckt.",1,28,1,NA,9,10,30,58,99,8,158,103,13,10,498,NA,"24.04.2017 21:09",1,0,10,10,0,0,0.97,5,0.7504488207988373
272,NA,"ppft9wu8",43,190014,"20.03.2017 21:26",5,4,2,5,1.5,1,2,1,3,1,4,7,2,5,2,1,5,4,1,1,4,1,4,4.666666667,1,1,3,4,"",1,4,4,2,2,1,2,1,2,"Lobpreis",1,"",5,2,2,2,2,2,1,5,"Auswirkung von Gebet auf die Lebenseinstellung.
Wie sehr führt äußere Unruhe zur inneren Unruhe?",2,"",1,28,1,NA,8,7,16,48,59,6,60,51,10,12,277,NA,"20.03.2017 21:31",1,0,10,10,0,0,1.37,18,0.6685046359162113
177,NA,"wu9jnx0k",45,7928,"19.03.2017 22:25",5,4,2,3,2.5,3,3,2,2,1,2,4,2.166666667,4,4,2,4,5,3,2,5,2,5,4.333333333,2,1,4,5,"16",2,2,3,2,2,1,2,1,1,"",1,"",3,2,2,1,2,1,1,5,"Wie viel Raum Gebet und den daraus resultierenden Erwartungen in dem Alltag gewährt wird.",1,"Der Sinn das Kreuz in der Bildabfolge zu fixieren.",2,28,1,NA,7,10,22,52,79,6,78,74,11,23,362,NA,"19.03.2017 22:31",1,0,10,10,0,0,1.09,5,0.6192383809709658
290,NA,"xd0amh0o",59,5184,"21.03.2017 11:12",5,3,4,5,2.5,1,2,2,1,1,1,6,1.333333333,4,5,1,4,5,1,1,2,5,5,4.333333333,2.333333333,1,2,4,"",4,1,1,1,1,1,1,1,2,"Musik",1,"",2,1,2,1,1,1,2,4,"Verändert ein Gebet meine Grundeinstellung",2,"",1,28,1,NA,7,9,14,34,48,7,62,46,11,4,242,NA,"21.03.2017 11:16",1,0,10,10,0,0,1.57,37,0.7012791834498034
336,NA,"xt57jh6w",48,5087,"22.03.2017 19:09",2,5,3,5,2,2,3,4,3,1,2,7,2.5,3,4,2,4,5,2,1,4,1,5,4,1.333333333,1,4,5,"16",1,2,4,2,2,1,2,1,2,"in Zungen",1,"",5,2,2,2,2,1,2,5,"Wie sehr mich mein Zustand durch das vorherige Gebet verändert bzw. meine Sicht auf die Bilder verändert.",1,"Die Bilder waren zum Teil sehr schrecklich. Ich habe mich irgendwann geweigert, sie anzusehen. ",1,28,1,NA,7,7,12,49,54,5,77,90,9,12,322,NA,"22.03.2017 19:15",1,0,10,10,0,0,1.39,20,0.6787586006037297
79,NA,"0hj73tk1",41,1125726,"19.03.2017 14:27",5,4,1,4,1.5,1,2,1,1,1,2,7,1.333333333,4,5,3,4,5,4,3,5,2,5,4.333333333,2.666666667,1,3,2,"",2,3,4,2,2,2,2,1,1,"",1,"",2,1,2,1,2,1,1,5,"ob das Beten positive auwirkungen hat auf die psyche",1,"zuviele negative Bilder",2,29,1,NA,10,8,31,55,114,9,74,160,14,22,497,NA,"19.03.2017 14:36",1,0,10,10,0,0,0.9,2,0.5946965154049069
253,NA,"3qbka74o",52,28008,"20.03.2017 19:11",5,4,2,4,2,1,1,1,2,1,1,6,1.166666667,5,5,2,5,4,2,3,5,1,5,5,2,1,4,5,"26",1,2,4,2,2,1,1,1,2,"Glossolalie/Sprachengebet",2,"Gestische Bewegung; Musik",4,2,2,2,1,1,2,5,"Erkennbare Zusammenhänge einer Verbindung zur Lebensquelle JHWH mittels Gebet als der größten menschlich nutzbaren Kraft im Hinblick darauf, wie diese dem Menschen selbst, seinen Lebensumständen, seiner Lebenseinstellung, seinem Zukunftsoptimismus (u. ä. Parametern) sowie (Herzens-)Anliegen desjenigen zum Vorteil gereicht bzw. nachhaltig positiv verändert.",1,"#NAME?",2,29,1,NA,21,50,90,118,148,9,552,2330,18,54,672,NA,"20.03.2017 20:08",1,0,10,10,0,0,0.4,0,0.6091187178411454
246,NA,"4co2pv5z",48,15622,"20.03.2017 17:58",5,4,2,4,2,5,5,4,4,1,1,7,3.333333333,4,3,1,5,5,1,1,4,1,5,4.666666667,1,1,4,5,"14",1,1,1,2,1,1,1,1,1,"",1,"",2,1,2,1,2,1,1,5,"weiß nicht",2,"",1,29,1,NA,7,7,19,28,46,8,83,27,11,17,253,NA,"20.03.2017 18:03",1,0,10,10,0,0,1.48,24,0.5912709745994332
24,NA,"6dwmwwgo",44,161497,"18.03.2017 22:53",5,4,2,2,3,1,3,2,3,2,2,6,2.166666667,4,3,2,5,5,3,2,4,1,5,4.666666667,1.666666667,1,4,5,"20",1,1,3,2,2,1,2,1,1,"",1,"",2,2,1,2,1,1,1,5,"wie viel wir beten und ob wir erwarten dass Gott auch antwortet.",1,"Gewisse Bilder waren wirklich Grusselig, erschrekend. ",2,29,1,NA,8,13,25,61,85,9,112,76,19,20,428,NA,"18.03.2017 23:00",1,0,10,10,0,0,0.9,1,0.5453790440819509
276,NA,"9qdzmgph",49,6791,"20.03.2017 21:56",3,3,3,1,4,1,1,3,2,1,1,7,1.5,4,3,2,4,5,2,3,2,2,5,4.333333333,2.333333333,1,4,4,"",2,2,1,2,1,1,1,1,1,"",1,"",1,1,2,1,1,1,1,5,"Ob sich etwas durch Gebet verändert",2,"",1,29,1,NA,8,8,17,42,77,10,44,25,14,28,273,NA,"20.03.2017 22:00",1,0,10,10,0,0,1.35,21,0.5370263349293227
402,NA,"9vfz4kol",54,17347,"08.04.2017 09:06",5,3,3,4,2.5,4,4,3,7,2,4,7,4,3,3,2,5,5,3,4,2,2,4,4,2.666666667,1,2,5,"19",1,3,2,2,2,1,1,1,1,"",1,"",5,2,2,2,2,1,2,4,"Charakter, Lebensschicksale, Frustration, Bitterkeit, Anklagen gegen Gott",2,"",2,29,1,NA,5,15,15,49,80,6,140,48,8,11,377,NA,"08.04.2017 09:13",1,0,10,10,0,0,1.3,19,0.5632764804109205
295,NA,"bscstnvb",47,17579,"21.03.2017 12:55",5,4,2,5,1.5,4,1,5,2,1,1,7,2.333333333,3,4,1,3,5,2,1,3,1,5,3.666666667,1,1,4,5,"26",1,2,2,2,2,1,1,1,1,"",1,"",3,2,1,1,2,1,2,5,"Ob Gebete unsere Einschätzung und unsere Gedanken zum Leben und zur Zukunft positiv beeinflussen",1,"Dass keine Fragen zu den Bildern und den Emotionen, die sie ausgelöst haben, gestellt wurden.",1,29,1,NA,5,6,14,67,89,5,87,86,9,9,377,NA,"21.03.2017 13:02",1,0,10,10,0,0,1.39,21,0.540655265244879
393,NA,"cfnmu9jc",57,9568,"02.04.2017 22:15",5,5,4,5,2.5,4,4,7,4,3,3,5,4.166666667,2,1,3,3,5,3,3,3,1,3,2.666666667,2.333333333,1,4,5,"26",1,1,3,2,2,2,1,1,1,"",1,"",2,2,1,1,1,1,2,5,"in dieser unfassbar schrecklichen inzwischen Gottlosen Welt in der Politische Radikalsierung und eine Promuslimisierung vorherrscht  vermutlich nur die Bestätigung einer unglauebigen Gruppe dass JESUS  ja nichts bewirken kann und Gott uns CHRISTEN  ja nicht glücklicher oder reicher macht?! Verzeihung aber ich kann nicht nachvollziehn was gerade in Deutschland und Europa geschieht. Von Anbeginn der Zeit verteufeln die Ungläubigen Linken Grünen und Roten uns Christen doch die radikalen andersgläubigen heben sie empor ,das ist ok. Menschen die laut ihrer Schrift uns Christen den Kopf und Hand abschlagen sollen ?  Jesus bietet uns nur eines,LIEBE. ",1,"",1,29,1,NA,7,7,14,47,91,6,68,395,11,46,692,NA,"02.04.2017 22:26",1,0,10,10,3,3,1.08,12,0.5895910923156789
96,NA,"h1t0s4aa",49,14674,"19.03.2017 16:38",5,3,3,2,3.5,7,4,3,6,1,2,2,3.833333333,4,3,1,3,4,4,4,5,2,5,4,2.333333333,1,2,4,"",1,1,2,2,1,1,2,1,1,"",1,"",2,2,1,1,2,1,1,4,"",2,"",2,29,1,NA,11,17,89,765,136,7,66,21,15,3,421,NA,"19.03.2017 16:57",1,0,10,10,3,2,1.17,42,0.5803406037822527
197,NA,"hyna9rkp",55,11983,"19.03.2017 23:50",5,4,1,3,2,1,3,2,3,1,1,6,1.833333333,3,3,1,4,5,1,2,4,1,5,4,1.333333333,1,4,4,"",2,2,2,2,2,1,1,1,1,"",1,"",4,2,1,2,2,1,2,5,"Wird schon spannend sein. Ich hatte mal Test´s über die Reizung des Gehirnes gemacht, das war auch mit Bildern. Von daher nichts neues. ",2,"",1,29,1,NA,9,15,25,61,89,9,74,88,16,8,394,NA,"19.03.2017 23:56",1,0,10,10,0,0,1.05,8,0.6183540527101499
