"ï..CASE","STARTED","self","Geschlecht","Alter","Orientierung","IN03_41","IN03_42","IN03_43","IN03_44","IN03_45","IN03_46","IN03_47","IN03_48","IN03_49","IN03_50","IN03_51","IN03_52","IN03_53","IN03_54","IN03_55","IN03_56","IN03_57","IN01_01","IN01_02","IN01_03","IN01_04","IN01_05","IN01_06","IN01_07","IN01_08","IN01_09","IN01_10","IN01_11","IN01_12","IN01_13","IN01_14","IN01_15","IN01_16","IN01_17","IN01_18","IN01_19","IN01_20","IN04_21","IN04_22","IN04_23","IN04_24","IN04_25","IN04_26","IN04_27","IN04_28","IN04_29","IN04_30","IN04_31","IN04_32","IN04_33","IN04_34","IN04_35","IN04_36","IN04_37","IN04_38","IN04_39","IN04_40","IN02_21","IN02_22","IN02_23","IN02_24","IN02_25","IN02_26","IN02_27","IN02_28","IN02_29","IN02_30","IN02_31","IN02_32","IN02_33","IN02_34","IN02_35","IN02_36","IN02_37","IN05_01","IN05_02","IN05_03","IN05_04","IN05_05","IN05_06","IN05_07","IN05_08","IN05_09","IN05_10","IN05_11","IN05_12","IN05_13","IN05_14","IN05_15","IN05_16","IN05_17","IN05_18","IN05_19","IN05_20","Ziele","IntimitÃ.t_Bindung","Geselligkeit","Anderen_helfen","Hilfe_bekommen","Anerkennung_WertschÃ.tzung","Ãœberlegensein_Imponieren","Autonomie","Leistung","Kontrolle","Bildung_Verstehen","Glauben_Sinn","Leben_auskosten","Selbstvertauen_Selbstwert","Selbstbelohnung","Alleinsein_Trennung","GeringschÃ.tzung","Erniedrigung_Blamage","VorwÃ.rfe_Kritik","AbhÃ.ngigkeit_Autonomieverlust","Spannungen","sich_verletzbar_machen","Hilflosigkeit_Ohnmacht","Versagen","INK_AnnÃ.herung","INK_Vermeidung","INK_GES","IAT","Ink_hoch","bf","BF"
205,"11/27/2017 15:53:21",3,1,20,1,3,4,3,4,3,4,4,4,4,4,3,3,4,4,3,4,4,3,4,3,4,4,3,2,3,4,3,4,4,4,4,3,2,3,3,3,2,3,4,4,4,3,3,3,3,4,4,4,4,3,4,4,3,4,4,3,2,3,3,2,3,3,3,2,4,3,3,5,4,3,4,3,2,3,4,3,3,4,4,3,3,3,4,2,4,4,3,3,3,3,3,2,3,3,"Ich hÃ¤tte erwartet, dass jetzt im Anschlussteil erneut Ã¤hnliche Fragen wie im Anfangsteil gestellt werden wÃ¼rden, um auszutesten, inwiefern die Bilder die aktuelle Stimmung und EinschÃ¤tzung verÃ¤ndern kÃ¶nnen.",3.2,2,2.75,2.5,2,2.75,2.25,2.5,3,2.25,3,2.6,2.5,2,3,3,2.5,3.33333333333333,3.2,2.5,3.33333333333333,3.5,4.25,2.52142857142857,3.17962962962963,2.8505291005291,NA,1,0.5622424251768129,0.5622424859134043
206,"11/27/2017 15:53:33",6,1,18,1,2,4,4,4,2,2,4,3,2,3,4,2,1,2,2,4,2,3,4,2,5,4,2,1,3,2,3,3,4,3,1,1,2,4,4,2,4,4,4,2,1,2,3,3,2,4,4,2,3,4,4,3,3,2,3,4,3,3,5,2,3,2,4,1,5,5,4,5,3,4,2,5,2,3,4,5,4,5,5,2,3,2,4,1,2,4,4,3,4,2,5,2,4,3,"Ich glaube, es war das Ziel der Studie, bestimmte emotionale mit kognitiven VorgÃ¤ngen zu verbinden.",3,2.75,2,3.5,2,3.25,2.75,2.75,3.5,2.5,4,3.4,4.25,4.33333333333333,4.2,3.6,2,3.33333333333333,2.6,2.25,4,4.25,4.5,3.14166666666667,3.41481481481482,3.27824074074074,NA,1,0.5828932238916237,0.5828932854127448
209,"11/27/2017 15:53:36",4,2,22,1,4,5,4,4,3,3,3,4,3,5,3,1,3,3,3,2,3,3,4,2,3,3,4,3,3,3,2,2,3,4,3,4,3,4,3,3,5,3,4,4,4,3,3,5,4,3,4,3,3,3,4,3,4,4,4,4,5,2,2,1,2,1,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,2,2,2,3,3,2,1,2,2,3,1,2,2,"Entweder irgendetwas das zeigt was fÃ¼r ein Zusammenhang zwischen angenehmen und unangenehmen einflÃ¼ssen besteht oder einfach nur eine Umfrage die sehr viel mit Anerkennung zu tun hat.",1.2,2.5,3.25,2.75,3,3.25,2.25,2,2.75,2.75,3,2.8,2.75,2.33333333333333,2.6,2.2,1.25,2,2.2,2.25,3,2.75,2.75,2.61309523809524,2.33333333333333,2.47321428571429,NA,1,0.5558407089193406,0.5558407701566019
218,"11/27/2017 16:27:31",5,1,20,3,2,4,4,4,3,3,4,4,4,3,3,3,2,3,4,4,2,2,3,4,4,4,5,3,2,2,3,4,4,4,2,3,2,5,4,3,4,3,2,2,2,4,3,4,2,5,3,4,3,4,4,4,2,3,4,2,4,2,4,4,1,4,2,2,4,2,2,4,4,2,4,1,1,2,3,2,4,3,2,2,2,4,4,2,3,3,2,2,4,2,2,2,4,1,"den Zusammenhang zwischen der aktuellen GefÃ¼hlslage und verschiedenen Bildern von ekligen oder unangenehmen Bildern herzustellen<br>wie beeinflusst unsere GefÃ¼hlslage die Wahrnehmung?",2.2,1.75,2.5,2.5,2,3.25,2.25,3.75,4,2.5,2.75,2,3.5,3.66666666666667,2.2,2.4,3.5,2.33333333333333,1.8,2,3.33333333333333,3,3.75,2.75833333333333,2.70185185185185,2.73009259259259,NA,1,0.5522596608382292,0.5522597223203946
219,"11/27/2017 16:27:45",5,2,18,2,3,1,2,5,4,4,4,3,2,4,4,3,4,3,3,4,4,4,2,4,4,3,4,4,4,5,3,4,3,4,4,5,4,4,4,3,1,4,4,4,4,3,3,2,3,3,3,4,3,5,4,4,3,5,4,4,2,2,2,1,3,4,4,1,3,5,5,4,2,2,2,5,3,4,3,5,2,2,4,2,2,1,1,1,2,3,2,2,3,2,4,1,2,1,"Sichtweisen von Personen zu ihrem eigenen Wohlbefinden im Vor-Wintermonat Herbst zu sammeln und zu analysieren. Im Herbst - die Jahreszeit, in der sich die Tage verkÃ¼rzen, ist der Mensch erhÃ¶ht emotional negativ gereizt, als etwa im Sommer. Die Bilder werden in Relation zu den eigenen Emotionen anders wahrgenommen, als vielleicht im FrÃ¼hjahr.",3.8,2.5,1.75,3.5,2,2.5,1.5,3,2,2.5,2.5,2.6,2.25,1.66666666666667,4,3.4,1.75,2.33333333333333,2,1.5,2.66666666666667,2.75,2.75,2.43333333333333,2.57222222222222,2.50277777777778,NA,1,0.5487708787846369,0.5487709405324781
225,"11/27/2017 17:14:27",5,2,19,2,4,3,4,3,3,5,4,5,4,2,5,2,2,1,5,4,3,4,3,2,4,4,4,5,4,1,2,4,4,4,1,5,2,3,4,4,2,4,4,3,5,3,5,3,3,4,5,5,4,4,3,4,5,3,3,3,2,3,3,2,3,5,2,1,2,3,2,3,4,2,4,4,4,2,3,3,3,2,3,3,2,3,3,3,3,4,2,4,5,2,5,3,2,3," ",3,1.75,1.75,2.75,2.25,2.75,3.5,2,3.25,1.5,3,1.4,2.75,3.66666666666667,3.6,2.2,3.25,2.33333333333333,3.2,2,4,3.25,3,2.52261904761905,2.98148148148148,2.75205026455026,NA,1,0.5453698204409322,0.5453698824376257
227,"11/27/2017 17:14:54",5,1,22,1,4,2,4,5,1,4,3,2,3,2,4,2,3,2,2,3,2,4,3,3,2,3,4,2,2,5,2,2,5,1,2,1,2,5,3,4,1,2,3,4,3,2,3,2,2,1,5,2,2,4,3,2,2,4,5,3,1,3,4,2,1,3,2,2,4,2,4,4,2,1,2,4,1,2,3,3,4,4,4,3,2,3,3,1,2,3,2,2,4,2,4,1,2,3,"GefÃ¼hle zu Situationen und Bildern auszuwerten",4.6,4.5,2.75,2.75,3.5,4.25,1,3,3,2.25,4,2.8,3.5,2.66666666666667,2.8,2.6,2.25,2.33333333333333,2.2,1.5,3.33333333333333,3.5,3.5,3.18333333333333,2.66851851851852,2.92592592592593,NA,1,0.5420523348827638,0.5420523390621317
228,"11/27/2017 17:15:44",5,1,21,1,2,5,5,5,2,3,5,5,5,2,5,1,3,4,3,4,3,2,2,5,4,3,3,2,1,4,2,3,3,5,1,4,2,4,2,4,5,4,3,3,2,2,3,5,2,5,3,3,2,4,4,5,2,2,4,2,5,2,5,3,2,5,2,2,4,2,2,4,3,1,4,5,3,1,2,2,5,4,1,1,2,5,4,2,2,4,2,2,5,2,5,1,1,1,"irgednwas mit EmotionalitÃ¤t",1.2,1,1.75,1.5,2,4.25,1.75,3.75,3.75,3.25,4.25,3,3,4,2.6,1.6,3.5,2,1.6,1.75,4.33333333333333,4.5,4,2.74642857142857,2.87592592592593,2.81117724867725,NA,1,0.538814398294942,0.5388144024721102
233,"11/27/2017 17:17:06",4,1,20,1,3,5,4,3,2,4,4,3,3,3,4,4,2,2,2,3,3,3,4,2,5,4,2,2,3,2,3,3,3,2,2,3,2,3,4,5,5,4,5,4,3,3,4,4,4,4,4,3,3,3,4,4,3,2,3,2,4,2,5,3,4,2,2,3,3,2,3,3,3,2,5,4,1,2,4,2,5,4,3,3,2,3,4,2,3,2,2,2,3,2,5,2,2,4,"Herauszufinden wie sich positive und negative GefÃ¼hle gegenseitig beeinflussen, je nachdem wie stark sie sind",1.8,2.75,2.5,2.5,2,3.25,3.25,2.25,3.75,2,3,3.2,3,3.33333333333333,2.2,2.2,2.5,2.66666666666667,3.2,2.25,4.33333333333333,4.5,3,2.75595238095238,2.98333333333333,2.86964285714286,NA,1,0.5141910684376129,0.5141910726140411
236,"11/27/2017 17:57:50",6,1,21,1,2,5,5,4,3,2,4,5,5,4,3,3,3,2,4,3,3,2,2,3,4,2,4,3,3,2,2,4,5,5,2,4,3,1,3,4,5,3,2,2,2,3,4,5,4,5,2,5,3,3,3,5,3,5,3,2,5,2,3,2,2,2,2,4,3,1,1,3,3,3,4,3,4,2,2,1,3,4,1,1,3,3,4,2,4,4,3,3,5,2,3,2,2,2,"SelbsteinschÃ¤tzung / Wahrnehmung",1.2,1,3,2,2.25,3.25,3.5,3.75,3.5,3.75,2.75,1.6,3,3,2.4,1.8,2.25,2.33333333333333,2.4,3,3,3.5,3.5,2.68214285714286,2.6870370370370402,2.68458994708995,NA,1,0.5335884748018364,0.5335884789777804
237,"11/27/2017 17:58:19",7,1,22,1,4,5,5,3,4,5,4,4,4,4,2,4,4,3,4,2,4,2,5,4,3,5,4,5,4,3,4,5,4,3,3,1,3,2,2,4,1,2,4,3,4,4,5,1,3,2,5,3,4,5,4,3,4,4,3,1,1,1,1,2,2,1,1,3,2,2,2,2,4,2,2,2,2,2,4,2,4,2,3,2,3,3,1,2,2,1,2,2,4,4,5,1,1,2,"Emotionen, Herbst",4.2,3,3.25,2,2,2,3.25,1.75,3.5,1.75,1.75,2,2.25,2.66666666666667,2.6,1.4,1.75,3.33333333333333,2,2.5,4.33333333333333,1.75,1.5,2.52619047619048,2.35185185185185,2.43902116402116,NA,1,0.5809096562463996,0.580909720691673
240,"11/27/2017 18:02:54",6,1,22,1,3,4,5,4,4,4,5,4,4,4,2,4,4,5,3,4,4,3,4,4,5,4,4,3,5,4,4,5,5,5,4,4,4,2,4,5,2,4,5,5,3,5,5,4,2,5,3,5,5,5,5,5,3,4,3,3,4,1,1,1,1,1,2,2,2,2,1,3,5,2,3,1,5,1,2,2,2,2,2,2,2,2,2,4,4,2,2,2,5,4,5,3,5,2,"ZusammenhÃ¤nge zwischen PersÃ¶nlichkeitseigenschaften, kognitiven FÃ¤higkeiten und Emotionen aufzuzeigen",2.4,1.25,2.25,1.25,1,1.5,2.75,2.25,2.5,2.25,2,1.6,2.75,1.66666666666667,3.2,2,1.75,2.66666666666667,2.2,2.5,4,1.75,2.25,1.95833333333333,2.47962962962963,2.21898148148148,NA,1,0.6053378781768747,0.6053378823489611
247,"11/29/2017 14:52:36",4,2,18,2,2,4,4,2,4,4,5,4,5,3,4,4,4,2,5,4,4,5,4,3,4,3,4,5,4,4,3,3,2,4,4,5,4,4,3,5,1,2,4,2,4,4,4,1,2,5,4,2,3,4,4,5,4,3,3,4,2,2,4,4,3,3,2,1,3,1,2,4,3,4,3,4,5,2,2,5,4,4,5,3,2,4,2,5,4,4,2,2,1,2,2,2,2,3," ",3.4,1.5,2.5,2,2,2.5,2.75,2.5,1.75,2.5,2,2.6,2.75,3,3.4,2,3.25,2,3,3,3,3.75,3.25,2.41071428571429,2.96111111111111,2.6859126984127,NA,1,0.5755947071144971,0.5755947721579304
258,"11/29/2017 15:26:35",6,1,18,1,2,2,3,3,3,3,4,4,4,3,3,3,2,3,4,4,3,2,3,3,4,2,3,3,4,5,3,4,5,4,4,4,2,3,3,3,1,3,2,4,3,4,4,3,3,4,2,4,4,4,4,4,2,5,4,2,2,2,3,3,3,2,2,1,4,3,2,4,3,2,4,4,3,2,2,3,4,3,3,3,1,4,3,2,3,3,2,3,3,2,4,2,2,2,"Sehen, wie sich die eigene momentane Einstellung (positiv oder negativ) auf die Wahrnehmung von visuellen EindrÃ¼cken auswirkt",3.6,2,2.5,2.75,2,2.5,2.25,3.75,4,3.5,2.75,2,3,1.66666666666667,3,2,2.75,2,2.8,1.5,3.66666666666667,3.5,3.5,2.73333333333333,2.7462962962963,2.73981481481481,NA,1,0.5998951513891805,0.5998951555606182
265,"11/29/2017 16:18:15",5,2,22,1,2,5,5,4,2,4,5,4,2,4,3,2,4,2,4,5,4,5,3,3,4,3,4,5,4,3,2,4,5,3,3,2,3,4,5,2,2,4,3,3,4,1,5,5,3,4,5,3,4,5,5,5,2,4,4,5,4,2,2,1,3,3,1,1,3,2,1,2,5,3,3,2,1,2,3,2,4,2,1,1,1,4,3,2,4,2,3,1,5,2,5,3,2,2,"Eine gute Frage.<br>Ich denke die individuell unterschiedliche Wahrnehmung auf sich und seine Umwelt zu erfassen.<br>",2.4,2,1.75,3.25,1.5,3,2.25,3.5,1.75,1.75,3,1.8,2.5,2.66666666666667,2.2,1.6,2.75,2.66666666666667,2.2,1.75,4.66666666666667,2.25,2.5,2.36547619047619,2.50925925925926,2.43736772486773,NA,1,0.59710959569019,0.5971095998609094
267,"11/29/2017 16:18:38",7,1,23,1,4,4,4,3,2,2,4,3,4,3,3,3,4,4,2,4,3,3,4,4,4,3,3,5,3,3,4,4,3,3,1,4,3,3,4,4,5,3,5,2,3,3,2,4,3,4,4,2,3,4,3,3,4,2,5,3,4,3,2,3,3,3,2,2,4,2,1,2,3,2,3,2,2,2,2,1,4,3,1,3,1,3,2,1,3,3,3,4,5,3,5,1,2,3,"Herauszufinden, wie sich unterschiedliche Lebenslagen eines Menschen auf das Empfinden beim Anschauen der letzten Bilder auswriken kÃ¶nnen.",1.8,2.75,2.5,2,2.25,3,2.5,1.75,2.75,2.75,2.5,3.6,2.75,4.33333333333333,2.2,2,2.5,2.66666666666667,3.2,1.5,4,2.5,2.75,2.65952380952381,2.59074074074074,2.62513227513228,NA,1,0.6547486692941978,0.6547486734633521
268,"11/29/2017 16:18:57",5,2,26,1,2,1,4,2,1,5,3,2,3,1,2,1,1,3,3,2,1,2,2,2,4,2,2,3,1,2,1,1,4,4,2,1,1,2,3,1,1,2,2,3,1,1,3,2,1,4,4,2,3,3,3,3,1,2,2,1,1,1,5,4,4,4,2,2,5,2,5,5,5,2,5,2,2,2,3,5,5,5,5,3,1,4,5,2,4,4,1,1,4,1,5,1,4,4,"spontane EindrÃ¼cke auszuwerten und den Ergebnissen der gleichen Studie, welche zu einer anderen Jahreszeit bereits ausgefÃ¼hrt wurde zu vergleichen",4.8,2.75,3.75,3.25,3.25,4.5,4,4.25,4.75,2.5,4.5,3.2,4.75,3.66666666666667,3.6,2.8,3.25,1.66666666666667,3.2,1.75,5,4.25,4.75,3.85119047619048,3.36296296296296,3.60707671957672,NA,1,0.6520855469211929,0.6520855510910002
273,"11/29/2017 16:20:00",8,1,24,1,3,5,4,3,2,2,4,2,3,2,3,4,4,3,2,3,3,3,2,3,4,3,1,3,2,4,1,4,4,2,1,2,2,4,4,3,5,4,3,2,2,3,4,4,3,1,4,4,2,4,3,2,2,3,2,2,4,1,3,2,2,3,2,1,5,2,2,3,4,1,4,5,1,2,2,2,4,3,2,2,2,2,4,2,3,4,2,2,3,2,3,1,1,3,"herauszufinden, ob der Herbst negative Stimmung verbreitet und Menschen depressiver und negativer gestimmt sind.",2,4.25,2.5,2.75,2.25,4.25,2.75,3.5,3.25,2.75,3,3,3.25,4,2,1.6,2,2,2.4,1.5,3.66666666666667,3.75,4,3.10714285714286,2.5462962962963,2.82671957671958,NA,1,0.7546225673014163,0.7546225714693743
276,"11/29/2017 16:50:14",6,1,18,1,2,3,3,3,2,2,3,3,3,2,4,2,3,3,3,4,3,2,2,3,4,2,2,2,3,3,2,3,2,2,3,3,3,3,3,2,1,4,2,4,3,2,2,1,2,2,3,2,3,3,4,2,2,4,4,3,1,1,2,3,1,1,1,1,3,1,1,2,2,1,2,3,1,1,2,2,3,2,3,1,2,3,2,1,2,1,1,2,4,1,2,1,1,1,"evtl. die HerbstgefÃ¼hle negativ zu beeinflussen",4.2,3.75,2.25,3.25,2.5,3.5,2.75,4,3.25,3.5,4,3.8,3.25,2.33333333333333,2.2,1,2,1.33333333333333,1.4,1.25,2.33333333333333,2.25,2,3.30952380952381,1.75185185185185,2.53068783068783,NA,1,0.7936362356025423,0.7936362397739443
283,"11/30/2017 8:56:14",7,1,40,1,4,3,3,3,4,4,3,4,2,3,4,4,4,2,3,4,3,3,2,3,4,5,2,2,2,3,3,4,4,3,2,2,3,3,5,3,4,4,5,3,4,3,3,3,3,4,5,3,3,5,4,3,3,2,3,5,3,2,4,2,4,1,1,3,3,4,3,4,2,2,4,2,2,3,2,4,3,3,5,5,2,2,3,3,5,4,3,5,5,3,3,1,3,4,"Ziel kÃ¶nnte sein, ob man im Herbst verstÃ¤rkt negative Emotionen hat ob man trauriger oder empfindlicher it, ob also die Jahreszeit Auswirkungen auf meine Befindlichkeit hat und mich emotional beeinflusst. Und wie lange ich deshalb unangenehme Bilder aushalte oder sie verdrÃ¤ngen mÃ¶chte",3,2.5,1.75,3.5,2.25,3,3,2.5,2.25,1.25,3,3,2.75,3.66666666666667,4,2.4,1.5,2.66666666666667,4.6,2.5,2.66666666666667,3.25,3.5,2.67261904761905,3.00925925925926,2.84093915343915,NA,1,0.8825953522626361,0.8825953564412027
287,"11/30/2017 8:56:56",7,1,18,1,1,2,4,5,1,2,4,5,5,3,3,3,1,3,4,3,3,2,1,4,5,3,5,4,3,5,2,5,5,5,2,3,4,4,1,4,1,4,3,3,4,5,4,1,4,5,4,4,2,3,4,4,1,4,2,2,1,1,1,4,1,1,1,1,5,1,1,1,1,3,1,3,1,1,4,2,2,1,3,1,4,4,3,2,1,1,4,1,5,1,1,1,1,1,"Ob GefÃ¼hlslage und PersÃ¶nlichkeit die Bewertung von unangenehmen Situationen beeinflussen",4.4,1.25,2.75,2,1.5,4,2,4.5,3.75,3.5,2.25,1.6,2.25,3,2.4,1,2.5,3,1,2.5,1.33333333333333,1.5,2.5,2.76785714285714,1.97037037037037,2.36911375661376,NA,1,0.9873503188449834,0.9873503230250973
291,"11/30/2017 9:28:31",5,1,20,1,5,5,4,4,3,5,3,3,3,3,4,3,3,4,4,4,4,4,3,4,4,3,3,4,4,2,2,4,3,3,2,5,3,4,4,4,5,5,4,3,3,4,4,5,4,4,5,4,3,5,4,4,3,4,4,4,5,2,4,3,2,1,3,2,5,2,2,4,3,2,4,3,2,2,2,1,5,2,1,3,3,2,4,2,3,3,4,4,4,2,3,1,1,2,"Ich weiÃŸ es nicht, wenn jetzt noch Fragen zu meinem Empfinden oder zu den als erstes prÃ¤sentierten Bildern kommen vielleicht was der einfluss der bilder auf uns hat?",1,2.5,1.5,2.25,2.25,3,2.5,2.25,2.5,1.75,2.5,2.4,2.25,3,2,2,1.75,2.66666666666667,2.8,2.25,3.66666666666667,3.25,4,2.26071428571429,2.70925925925926,2.48498677248677,NA,1,0.9853324086863149,0.9853324128652701
292,"11/30/2017 9:28:36",3,1,20,1,3,4,3,3,3,4,4,2,4,4,4,4,4,2,1,4,4,5,5,5,5,4,4,3,3,4,2,3,3,4,2,5,2,3,4,4,5,2,4,3,4,3,1,2,4,4,4,4,3,5,5,5,4,4,3,4,5,1,1,2,2,2,1,1,3,2,1,2,2,1,1,3,3,3,3,1,3,3,2,3,1,1,1,1,3,3,2,3,5,3,3,3,1,4,"Selbstbestimmung der GefÃ¼hle und experimentelle Untersuchung der GefÃ¼hle vergleichen?",1.8,2.25,2.25,2.75,1.75,3.25,2.75,2,2.25,2,2.5,3.4,1.75,3,2.6,1.4,2,2.66666666666667,3,1,2.66666666666667,2,2.25,2.40714285714286,2.17592592592593,2.29153439153439,NA,1,0.8638936025399309,0.8638936067169866
297,"11/30/2017 10:10:54",6,2,26,1,2,1,1,5,4,5,4,4,3,4,2,1,4,4,2,4,4,4,5,4,4,3,2,2,1,4,2,4,2,1,1,1,4,4,3,4,1,2,4,4,4,4,1,1,4,3,5,2,2,2,4,5,4,3,5,4,1,2,2,1,3,2,2,4,3,2,2,2,2,5,5,5,1,1,4,2,2,1,1,2,4,2,2,4,2,2,4,5,5,2,2,2,2,2,"quantentheorie - triggern emotionaler stimulie",5,2.75,3.5,3,2,3.75,1.5,2.25,2,2,3.25,4.2,2,3.33333333333333,2.2,1.8,1.75,3.33333333333333,2.8,4.25,2,3.25,2.25,2.8952380952381,2.62592592592593,2.76058201058201,NA,1,0.9123454136646456,0.9123454178408881
298,"11/30/2017 10:47:31",6,2,40,1,3,4,4,2,3,4,4,2,3,5,4,2,2,3,2,4,4,4,4,5,4,4,2,3,3,2,3,3,2,2,1,3,3,2,4,3,5,5,4,2,4,3,2,4,4,4,5,2,4,4,4,2,3,2,3,4,5,2,2,1,2,1,2,4,3,2,2,2,2,3,3,2,1,2,4,3,2,3,3,4,3,2,2,4,4,3,4,4,4,2,2,2,1,4,"Die Reaktion auf unangenehme EindrÃ¼cke im verhÃ¤ltnis zur Emotionalen Situation einzuschÃ¤tzen.",1.8,3.5,1.75,2.75,2.25,2.75,3.75,2.5,2.75,1.75,2.75,4,1.75,4.33333333333333,2.6,1.8,1.5,3.33333333333333,3.6,3.5,2,2.5,2.5,2.74166666666667,2.59259259259259,2.66712962962963,NA,1,0.9657228363629334,0.9657228405417639
300,"11/30/2017 10:47:37",7,2,27,1,3,2,2,4,3,5,4,5,5,2,4,3,5,1,3,4,5,5,2,4,5,3,5,5,3,4,2,5,3,3,1,1,5,5,5,5,1,5,3,1,4,5,1,1,5,5,5,5,3,5,5,5,1,5,3,5,1,1,1,3,1,4,4,1,2,3,3,2,5,2,4,5,1,1,3,5,1,1,5,2,1,3,2,2,1,1,3,5,1,1,4,1,1,1,"Bestimmung der aktuellen GefÃ¼hlslage",4.8,1.5,1.5,2.75,1.25,3.25,2,3.75,1,1.5,2.25,2.6,1.5,3.66666666666667,3,2,2.75,2.33333333333333,2,1.5,3.33333333333333,2.75,1.75,2.37976190476191,2.37962962962963,2.37969576719577,NA,1,1.085442041009892,1.0854420451949922
304,"11/30/2017 14:46:21",7,1,45,1,5,5,3,4,4,4,4,1,2,4,4,5,4,2,3,4,4,5,5,5,4,4,1,5,3,1,4,4,2,1,2,1,3,3,5,3,1,5,5,3,5,5,4,4,4,3,5,3,4,4,4,3,4,2,5,5,1,1,2,2,3,1,1,2,1,1,1,1,3,2,3,4,3,1,2,3,3,2,2,1,2,1,1,2,3,1,2,3,3,2,3,1,2,2,"Einfluss von Begriffen auf die Wahrnehmung von Bildern?",3.6,4,1.75,3.5,2,2.25,2.75,1.25,1.75,1.5,1.25,3.4,1.5,3.66666666666667,2.4,1.2,1.25,2,2.4,2,3,2.75,1,2.44047619047619,2,2.22023809523809,NA,1,1.2283733568307225,1.2283733610339274
306,"11/30/2017 14:46:47",4,2,24,1,2,1,2,4,3,3,3,4,3,3,4,3,4,2,4,4,3,4,2,4,4,3,3,1,3,3,2,4,4,4,3,4,4,3,3,3,1,4,3,4,3,3,4,3,3,4,2,3,4,3,3,4,2,4,3,4,4,1,2,2,1,2,1,1,2,1,1,2,3,2,1,2,1,1,2,3,3,1,2,1,3,3,1,2,1,1,2,2,2,1,1,1,1,1,"Stimmungslange und Empfindlichkeit fÃ¼r unangenehme Dinge",3.4,2,2.25,3.5,2.5,3,2.75,3.75,2,3.25,3.5,2.4,2.75,2.33333333333333,1.8,1,2,1.66666666666667,1.2,2,2.33333333333333,1.5,1.5,2.81309523809524,1.66666666666667,2.23988095238095,NA,1,1.1405912548659158,1.1405912590656515
307,"11/30/2017 14:47:08",6,1,21,1,4,5,4,4,3,4,4,4,4,5,2,2,3,1,3,3,3,4,4,4,3,3,3,4,5,4,4,3,4,4,2,2,3,2,4,2,5,4,4,1,3,2,2,5,4,4,4,4,4,3,3,4,4,2,5,4,5,2,2,2,1,2,4,3,3,3,4,2,3,2,3,1,2,3,1,1,2,3,1,3,3,3,2,3,4,3,2,4,4,1,4,1,3,4,"Zu testen inwiefern sich meine aktuelle Situation/ meine aktuelle GefÃ¼hlslage auf meine Wahrnehmung/ mein Empfinden verschiedener EindrÃ¼cke auswirkt.",1.6,2,3,3.25,2.75,2,2.25,2,2.5,2.25,2.75,2.8,2.5,4.33333333333333,2.2,3.2,2,1.33333333333333,3.2,2.75,3,2.25,2.5,2.5702380952381,2.49259259259259,2.53141534391534,NA,1,1.217063164294367,1.2170631684981903
308,"11/30/2017 14:47:13",5,1,20,1,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,3,3,2,1,4,3,3,3,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,1,4,4,3,2,2,4,2,4,4,4,4,4,3,3,3,3,4,2,3,4,3,3,2,2,2,2,3,3,4,3,2,2,2,4,2,3,4,"PersÃ¶nlichkeitsforschung",4.4,4,3,4,3.75,4,3.25,3.75,3.25,3.5,4,3.6,3.75,3,3,3.8,2.25,2.33333333333333,2.6,2.5,4,3.25,3.5,3.66071428571429,3.02592592592593,3.34332010582011,NA,1,1.2156118409598928,1.2156118451633697
310,"11/30/2017 14:47:48",5,1,21,1,4,4,4,4,3,2,4,3,3,3,3,3,3,2,3,3,4,4,5,4,4,4,3,3,4,2,4,4,3,3,2,3,3,3,3,3,4,3,4,2,3,4,3,4,4,4,4,3,4,3,4,3,4,1,3,3,4,1,3,1,2,3,1,3,2,2,2,3,4,3,3,3,2,1,3,2,4,3,2,2,3,1,3,3,2,2,2,2,2,1,3,1,1,2,"Eventuell bestand das Ziel der Studie darin, den Zusammenhang des momentanen GemÃ¼tszustandes und dem Empfinden der Bilder als unangenehm zu untersuchen.",2.2,2.75,3,3,2,2.25,3,1.75,2.75,2.75,2.75,3,2.25,4.33333333333333,2,1.2,1.5,2,2,3,3.66666666666667,3,2.5,2.69880952380952,2.31851851851852,2.50866402116402,NA,1,1.2141609481521074,1.2141609523579175
315,"11/30/2017 15:09:29",5,2,22,1,3,5,5,3,5,4,4,4,3,4,5,3,2,2,5,5,5,2,4,3,4,4,5,4,3,3,5,3,5,3,2,3,2,4,3,4,5,4,4,2,4,4,3,4,3,3,4,4,4,4,3,4,2,5,4,2,5,3,2,2,3,2,3,5,2,2,4,3,4,4,3,1,1,3,3,1,4,2,1,2,4,3,3,4,2,4,2,2,5,3,4,1,3,3,"Den Einfluss von Formulierungen auf die eigenen EinschÃ¤tzung herauszufinden",1.6,2.5,1.5,2.5,2.5,1.75,2.5,2.75,4,2.25,2.25,1.6,2.25,3,2,3.2,2,2.66666666666667,2.4,4.25,4,2,3,2.35357142857143,2.83518518518519,2.59437830687831,NA,1,1.2127107692526113,1.2127107734600522
