"ï..CASE","STARTED","self","Geschlecht","Alter","Orientierung","IN03_41","IN03_42","IN03_43","IN03_44","IN03_45","IN03_46","IN03_47","IN03_48","IN03_49","IN03_50","IN03_51","IN03_52","IN03_53","IN03_54","IN03_55","IN03_56","IN03_57","IN01_01","IN01_02","IN01_03","IN01_04","IN01_05","IN01_06","IN01_07","IN01_08","IN01_09","IN01_10","IN01_11","IN01_12","IN01_13","IN01_14","IN01_15","IN01_16","IN01_17","IN01_18","IN01_19","IN01_20","IN04_21","IN04_22","IN04_23","IN04_24","IN04_25","IN04_26","IN04_27","IN04_28","IN04_29","IN04_30","IN04_31","IN04_32","IN04_33","IN04_34","IN04_35","IN04_36","IN04_37","IN04_38","IN04_39","IN04_40","IN02_21","IN02_22","IN02_23","IN02_24","IN02_25","IN02_26","IN02_27","IN02_28","IN02_29","IN02_30","IN02_31","IN02_32","IN02_33","IN02_34","IN02_35","IN02_36","IN02_37","IN05_01","IN05_02","IN05_03","IN05_04","IN05_05","IN05_06","IN05_07","IN05_08","IN05_09","IN05_10","IN05_11","IN05_12","IN05_13","IN05_14","IN05_15","IN05_16","IN05_17","IN05_18","IN05_19","IN05_20","Ziele","IntimitÃ.t_Bindung","Geselligkeit","Anderen_helfen","Hilfe_bekommen","Anerkennung_WertschÃ.tzung","Ãœberlegensein_Imponieren","Autonomie","Leistung","Kontrolle","Bildung_Verstehen","Glauben_Sinn","Leben_auskosten","Selbstvertauen_Selbstwert","Selbstbelohnung","Alleinsein_Trennung","GeringschÃ.tzung","Erniedrigung_Blamage","VorwÃ.rfe_Kritik","AbhÃ.ngigkeit_Autonomieverlust","Spannungen","sich_verletzbar_machen","Hilflosigkeit_Ohnmacht","Versagen","INK_AnnÃ.herung","INK_Vermeidung","INK_GES","IAT","Ink_hoch","bf","date"
254,"11/29/2017 14:54:04",4,2,24,1,2,5,5,5,5,5,5,5,5,1,5,5,2,5,5,5,5,5,2,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,4,5,3,5,4,5,5,4,3,5,4,5,5,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,4,1,2,1,2,1,1,4,3,3,2,3,4,1,3,1,1,1,1,1,"Ob sich das Antwortverhalten bei leicht angepasster Fragestellung Ã¤ndert.",1,1.25,1,1,1,1.5,1.25,3.75,1.75,1.75,2,1,2,1,1.6,1,1.75,3,1.2,2,1.33333333333333,1,2.25,1.51785714285714,1.68148148148148,1.59966931216931,NA,0,NA,"2017/11/29 14:54:04"
255,"11/29/2017 15:26:10",6,2,22,1,3,5,5,5,4,5,5,5,3,4,3,1,4,5,5,4,5,5,4,5,5,2,5,1,4,5,2,5,5,4,5,4,5,5,5,5,2,5,3,5,5,5,5,5,5,3,5,5,4,3,5,4,3,5,5,5,4,1,1,1,1,2,1,1,1,1,1,1,3,2,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,"Herauszufinden wie die Probanden ihre eigene LebensqualitÃ¤t einschÃ¤tzen",2,2,2.25,1.5,1,2.5,1,2.75,1.25,1.75,3.25,1,1,1,1.4,1,1.25,1,1,1.25,2.66666666666667,1.5,1,1.73214285714286,1.34074074074074,1.5364417989418,NA,0,NA,"2017/11/29 15:26:10"
256,"11/29/2017 15:26:25",5,2,21,1,4,5,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,5,3,4,4,4,4,5,3,4,4,3,4,4,4,4,4,3,3,4,3,5,4,5,5,3,4,4,4,5,4,3,4,4,5,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,3,2,1,1,2,3,1,2,2,1,1," ",1.4,1.5,2,2.25,2,2.5,2.25,2,1.75,1.75,1.75,2.4,2.25,3,1.6,1.4,1.5,1.33333333333333,1.6,2.25,2,1,1.25,2.05714285714286,1.54814814814815,1.8026455026455,NA,0,NA,"2017/11/29 15:26:25"
257,"11/29/2017 15:26:27",6,1,21,1,3,2,4,4,2,3,4,5,4,5,5,4,3,3,4,5,4,4,3,4,5,3,5,4,2,5,3,4,5,5,5,3,4,5,4,2,1,4,4,5,4,4,4,2,5,5,4,4,3,5,5,5,3,4,4,4,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,"Emotionen im Zusammenhang mit unangenehmen Bildern",4.2,1,1.25,2.75,1.5,3.5,1.5,2.75,2.25,2.5,1.75,1.6,1.75,1.33333333333333,1.8,1.2,1,1,1,1,2.33333333333333,1.25,1.25,2.11666666666667,1.31481481481481,1.71574074074074,NA,0,NA,"2017/11/29 15:26:27"
258,"11/29/2017 15:26:35",6,1,18,1,2,2,3,3,3,3,4,4,4,3,3,3,2,3,4,4,3,2,3,3,4,2,3,3,4,5,3,4,5,4,4,4,2,3,3,3,1,3,2,4,3,4,4,3,3,4,2,4,4,4,4,4,2,5,4,2,2,2,3,3,3,2,2,1,4,3,2,4,3,2,4,4,3,2,2,3,4,3,3,3,1,4,3,2,3,3,2,3,3,2,4,2,2,2,"Sehen, wie sich die eigene momentane Einstellung (positiv oder negativ) auf die Wahrnehmung von visuellen EindrÃ¼cken auswirkt",3.6,2,2.5,2.75,2,2.5,2.25,3.75,4,3.5,2.75,2,3,1.66666666666667,3,2,2.75,2,2.8,1.5,3.66666666666667,3.5,3.5,2.73333333333333,2.7462962962963,2.73981481481481,NA,1,0.5998951513891805,"2017/11/29 15:26:35"
259,"11/29/2017 15:26:53",4,2,26,1,4,5,5,3,4,2,4,3,3,4,5,4,3,4,4,3,4,4,4,4,5,3,4,5,3,4,4,4,4,3,3,3,4,4,2,4,5,5,4,4,3,4,4,5,5,5,4,4,4,5,4,3,5,4,4,3,5,2,2,2,2,1,3,2,2,1,1,4,3,2,2,4,1,1,3,1,3,2,1,2,2,3,3,1,4,1,2,2,1,1,2,1,2,2,"herauszufinden wie ansprechend ich gewalt finde",1.4,2.5,1.5,2,1.75,2.25,2.25,1.75,2.5,3.25,1.75,2,2,2.33333333333333,1,1.8,1.75,2,2.4,1.75,2.66666666666667,2.5,2.5,2.08809523809524,2.04074074074074,2.06441798941799,NA,0,NA,"2017/11/29 15:26:53"
260,"11/29/2017 15:27:03",3,2,30,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"weiÃŸ ich nicht",1,1.5,1,1,1,1.5,1,1,1,1,1.25,1,1,1,1.8,1,1,1.33333333333333,1,1,1.66666666666667,1,1,1.08928571428571,1.2,1.14464285714286,NA,0,NA,"2017/11/29 15:27:03"
262,"11/29/2017 15:31:38",7,1,27,1,5,5,5,5,3,5,5,4,5,5,3,4,5,3,4,5,5,4,5,5,5,4,4,2,3,5,4,5,5,4,3,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,1,1,1,1,1,1,2,3,1,1,1,4,3,1,1,1,1,1,1,3,2,1,1,1,1,1,2,3,1,1,1,1,1,3,1,1,1,"ich weiÃŸ es nicht",1,1.5,1.75,1.5,1,2.5,1.25,1,1.25,1.25,2.25,1.6,1,1.66666666666667,1,1,1,1,1.4,2,3.33333333333333,1.25,1.5,1.46547619047619,1.49814814814815,1.48181216931217,NA,0,NA,"2017/11/29 15:31:38"
264,"11/29/2017 15:36:39",6,1,22,1,3,5,4,4,4,5,5,5,4,5,3,2,4,3,5,4,4,3,4,4,5,3,4,3,4,4,3,4,5,5,4,5,4,3,5,5,5,4,3,5,4,5,4,5,4,5,4,3,4,5,4,5,3,5,4,3,5,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,4,3,3,3,2,1,3,2,1,4,2,2,1,3,2,4,1,1,1,"Die Wirkung von Bildern in Verbindung mit den eigenen Emotionen",1,1,2,2,1.5,2.25,2.25,2.75,2.5,1.75,2.25,1.8,2,1.33333333333333,2.6,1,1.75,2,2,1,3,1.75,2,1.88452380952381,1.9,1.8922619047619,NA,0,NA,"2017/11/29 15:36:39"
265,"11/29/2017 16:18:15",5,2,22,1,2,5,5,4,2,4,5,4,2,4,3,2,4,2,4,5,4,5,3,3,4,3,4,5,4,3,2,4,5,3,3,2,3,4,5,2,2,4,3,3,4,1,5,5,3,4,5,3,4,5,5,5,2,4,4,5,4,2,2,1,3,3,1,1,3,2,1,2,5,3,3,2,1,2,3,2,4,2,1,1,1,4,3,2,4,2,3,1,5,2,5,3,2,2,"Eine gute Frage.<br>Ich denke die individuell unterschiedliche Wahrnehmung auf sich und seine Umwelt zu erfassen.<br>",2.4,2,1.75,3.25,1.5,3,2.25,3.5,1.75,1.75,3,1.8,2.5,2.66666666666667,2.2,1.6,2.75,2.66666666666667,2.2,1.75,4.66666666666667,2.25,2.5,2.36547619047619,2.50925925925926,2.43736772486773,NA,1,0.59710959569019,"2017/11/29 16:18:15"
267,"11/29/2017 16:18:38",7,1,23,1,4,4,4,3,2,2,4,3,4,3,3,3,4,4,2,4,3,3,4,4,4,3,3,5,3,3,4,4,3,3,1,4,3,3,4,4,5,3,5,2,3,3,2,4,3,4,4,2,3,4,3,3,4,2,5,3,4,3,2,3,3,3,2,2,4,2,1,2,3,2,3,2,2,2,2,1,4,3,1,3,1,3,2,1,3,3,3,4,5,3,5,1,2,3,"Herauszufinden, wie sich unterschiedliche Lebenslagen eines Menschen auf das Empfinden beim Anschauen der letzten Bilder auswriken kÃ¶nnen.",1.8,2.75,2.5,2,2.25,3,2.5,1.75,2.75,2.75,2.5,3.6,2.75,4.33333333333333,2.2,2,2.5,2.66666666666667,3.2,1.5,4,2.5,2.75,2.65952380952381,2.59074074074074,2.62513227513228,NA,1,0.6547486692941978,"2017/11/29 16:18:38"
268,"11/29/2017 16:18:57",5,2,26,1,2,1,4,2,1,5,3,2,3,1,2,1,1,3,3,2,1,2,2,2,4,2,2,3,1,2,1,1,4,4,2,1,1,2,3,1,1,2,2,3,1,1,3,2,1,4,4,2,3,3,3,3,1,2,2,1,1,1,5,4,4,4,2,2,5,2,5,5,5,2,5,2,2,2,3,5,5,5,5,3,1,4,5,2,4,4,1,1,4,1,5,1,4,4,"spontane EindrÃ¼cke auszuwerten und den Ergebnissen der gleichen Studie, welche zu einer anderen Jahreszeit bereits ausgefÃ¼hrt wurde zu vergleichen",4.8,2.75,3.75,3.25,3.25,4.5,4,4.25,4.75,2.5,4.5,3.2,4.75,3.66666666666667,3.6,2.8,3.25,1.66666666666667,3.2,1.75,5,4.25,4.75,3.85119047619048,3.36296296296296,3.60707671957672,NA,1,0.6520855469211929,"2017/11/29 16:18:57"
269,"11/29/2017 16:19:09",6,2,20,1,5,5,3,4,5,4,5,4,3,4,4,3,5,3,4,4,4,4,5,4,4,4,5,2,4,4,5,4,4,4,4,5,4,3,4,3,5,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Emotionen",1,2,2,3,1.75,1.5,2.25,1.5,1.75,1.75,2.75,1.8,1.75,1.66666666666667,1,1,1,1,1,1,1,1,1,1.89047619047619,1,1.4452380952381,NA,0,NA,"2017/11/29 16:19:09"
270,"11/29/2017 16:19:23",5,1,22,1,5,3,3,5,4,5,5,5,3,4,4,4,5,3,5,4,4,5,5,5,5,4,4,3,3,3,4,5,5,5,3,3,4,4,4,4,1,4,5,4,4,4,4,2,4,5,5,4,4,4,5,5,5,4,5,5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,"GefÃ¼hle analysieren",3.8,1,2,2.75,1,2.25,1.75,1,1.25,1.5,2.25,1.6,1.75,2.33333333333333,2.2,1.2,1,1.33333333333333,1,1,1,1,1,1.87380952380952,1.19259259259259,1.53320105820106,NA,0,NA,"2017/11/29 16:19:23"
271,"11/29/2017 16:19:36",5,2,23,1,4,4,3,5,3,5,4,3,3,5,3,4,4,2,5,5,5,5,4,5,4,3,5,3,3,5,3,4,5,4,5,2,4,5,5,4,1,4,4,5,5,4,5,3,5,4,5,4,5,4,4,4,3,4,5,5,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,1,"Zu wissen, ob Herbst einen Einfluss auf unsere GefÃ¼hle hat.",3.8,2.25,2,3,2,2.5,1,2.25,1.5,1.5,2,1.2,1,1.33333333333333,2,1.2,1.25,1.66666666666667,1,1,2,1,1,1.95238095238095,1.3462962962963,1.64933862433862,NA,0,NA,"2017/11/29 16:19:36"
273,"11/29/2017 16:20:00",8,1,24,1,3,5,4,3,2,2,4,2,3,2,3,4,4,3,2,3,3,3,2,3,4,3,1,3,2,4,1,4,4,2,1,2,2,4,4,3,5,4,3,2,2,3,4,4,3,1,4,4,2,4,3,2,2,3,2,2,4,1,3,2,2,3,2,1,5,2,2,3,4,1,4,5,1,2,2,2,4,3,2,2,2,2,4,2,3,4,2,2,3,2,3,1,1,3,"herauszufinden, ob der Herbst negative Stimmung verbreitet und Menschen depressiver und negativer gestimmt sind.",2,4.25,2.5,2.75,2.25,4.25,2.75,3.5,3.25,2.75,3,3,3.25,4,2,1.6,2,2,2.4,1.5,3.66666666666667,3.75,4,3.10714285714286,2.5462962962963,2.82671957671958,NA,1,0.7546225673014163,"2017/11/29 16:20:00"
276,"11/29/2017 16:50:14",6,1,18,1,2,3,3,3,2,2,3,3,3,2,4,2,3,3,3,4,3,2,2,3,4,2,2,2,3,3,2,3,2,2,3,3,3,3,3,2,1,4,2,4,3,2,2,1,2,2,3,2,3,3,4,2,2,4,4,3,1,1,2,3,1,1,1,1,3,1,1,2,2,1,2,3,1,1,2,2,3,2,3,1,2,3,2,1,2,1,1,2,4,1,2,1,1,1,"evtl. die HerbstgefÃ¼hle negativ zu beeinflussen",4.2,3.75,2.25,3.25,2.5,3.5,2.75,4,3.25,3.5,4,3.8,3.25,2.33333333333333,2.2,1,2,1.33333333333333,1.4,1.25,2.33333333333333,2.25,2,3.30952380952381,1.75185185185185,2.53068783068783,NA,1,0.7936362356025423,"2017/11/29 16:50:14"
277,"11/29/2017 16:52:13",5,2,20,1,5,2,2,4,3,2,4,2,2,3,2,3,4,2,4,4,4,5,4,5,5,4,4,3,4,4,4,4,4,3,2,2,4,4,3,3,1,3,5,2,5,4,3,1,4,4,4,3,4,4,5,4,4,2,5,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,"Zusammenhang zwischen aktueller GemÃ¼tslage und emotionaler Wahrnehmung von Bildern",4.6,2.75,2.75,3.75,1.5,2.25,1.75,1.5,1.5,2.75,2.75,2.4,1.5,4,2,1.2,1,1,1.4,1,1.33333333333333,1.25,1,2.55357142857143,1.24259259259259,1.89808201058201,NA,0,NA,"2017/11/29 16:52:13"
278,"11/29/2017 17:01:27",5,1,22,1,2,5,5,5,3,5,5,5,5,5,5,4,3,3,5,5,5,3,2,4,5,4,5,1,4,5,2,5,5,5,3,5,3,5,4,3,1,4,2,5,4,4,5,5,4,5,5,5,4,5,5,5,4,5,5,3,3,1,1,2,2,2,2,1,1,2,1,4,4,2,3,4,3,1,3,2,3,2,2,1,2,3,1,3,2,1,3,2,5,2,5,1,2,1,"Zu ermitteln wie meine GefÃ¼hlslage zu dieser Jahreszeit ist ?",2.2,1,1.25,2,1,2.75,1,3.5,3,1.5,2.5,1,1.75,1.66666666666667,2.8,1.4,2,2.66666666666667,1.6,2,4,2.5,1.75,1.86547619047619,2.30185185185185,2.08366402116402,NA,0,NA,"2017/11/29 17:01:27"
280,"11/30/2017 8:55:37",4,1,20,1,5,5,5,5,3,5,5,5,5,3,4,3,4,5,5,4,5,5,5,4,5,3,4,3,3,4,5,5,4,4,3,5,4,5,4,4,4,4,5,4,5,4,3,5,5,4,5,5,3,5,5,4,5,4,5,5,5,1,3,1,1,1,1,3,1,4,1,1,3,2,1,1,2,1,3,1,3,1,2,1,3,2,1,2,3,3,3,3,5,2,3,1,1,1,"Emotionen hervorzurufen",1.2,1.75,1.75,1.25,1,2.5,1.25,1,1.5,1.75,2.75,1.8,1.25,2.33333333333333,2.8,1,1.25,2.66666666666667,1.8,2.5,3,1.5,1.5,1.64880952380952,2.00185185185185,1.82533068783069,NA,0,NA,"2017/11/30 08:55:37"
281,"11/30/2017 8:55:53",5,2,35,1,5,5,5,4,3,3,3,1,3,5,4,3,5,4,3,4,5,5,5,4,4,3,4,4,2,3,2,4,3,1,2,4,4,3,5,4,5,4,4,4,4,5,3,5,5,2,5,3,3,4,3,2,5,3,5,5,5,3,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,1,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,"ich habe keine Ahnung!",1.2,4.5,2,2,2.5,3.5,2.25,1.25,1.25,2,1.75,2.8,1.5,3,1.8,2.6,1,2,1,1,2.33333333333333,1,1,2.25,1.52592592592593,1.88796296296296,NA,0,NA,"2017/11/30 08:55:53"
282,"11/30/2017 8:56:06",6,2,20,1,4,5,5,5,4,5,4,5,5,5,3,3,4,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,5,3,5,5,3,4,5,5,4,5,5,5,5,4,5,5,5,5,3,4,4,4,5,4,3,3,4,5,1,1,2,1,2,1,2,1,1,1,2,3,2,2,2,1,1,4,1,2,1,1,1,2,2,2,2,2,1,3,1,2,2,2,1,1,1,"Sozialer Status, emotionale BestÃ¤ndigkeit, AbhÃ¤ngigkeit des SebstwertefÃ¼hls von sozialen Beziehungen bzw. von wichtigen sozialen Kontakten und damit verbunden Erfolg im Leben und Sinn des Lebens.",1,1,2,1,2,2,2.25,1.75,1.75,1.5,1.75,2.2,1,2.33333333333333,1.2,1,1.75,3,1.2,2,2.33333333333333,1.5,1.5,1.68095238095238,1.72037037037037,1.70066137566138,NA,0,NA,"2017/11/30 08:56:06"
283,"11/30/2017 8:56:14",7,1,40,1,4,3,3,3,4,4,3,4,2,3,4,4,4,2,3,4,3,3,2,3,4,5,2,2,2,3,3,4,4,3,2,2,3,3,5,3,4,4,5,3,4,3,3,3,3,4,5,3,3,5,4,3,3,2,3,5,3,2,4,2,4,1,1,3,3,4,3,4,2,2,4,2,2,3,2,4,3,3,5,5,2,2,3,3,5,4,3,5,5,3,3,1,3,4,"Ziel kÃ¶nnte sein, ob man im Herbst verstÃ¤rkt negative Emotionen hat ob man trauriger oder empfindlicher it, ob also die Jahreszeit Auswirkungen auf meine Befindlichkeit hat und mich emotional beeinflusst. Und wie lange ich deshalb unangenehme Bilder aushalte oder sie verdrÃ¤ngen mÃ¶chte",3,2.5,1.75,3.5,2.25,3,3,2.5,2.25,1.25,3,3,2.75,3.66666666666667,4,2.4,1.5,2.66666666666667,4.6,2.5,2.66666666666667,3.25,3.5,2.67261904761905,3.00925925925926,2.84093915343915,NA,1,0.8825953522626361,"2017/11/30 08:56:14"
284,"11/30/2017 8:56:23",5,1,19,1,4,4,4,4,3,3,4,4,3,5,4,3,2,2,3,4,4,4,4,4,4,3,3,4,3,3,3,4,4,2,2,3,2,4,3,4,2,4,3,3,4,4,4,3,5,3,4,3,3,4,4,3,3,4,3,4,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,3,3,3,2,3,2,2,1,1,2,2,2,2,1,1,1,3,1,1,1,"wie meine Charaktereigenschaften mit meinen Reaktionen auf die Bilder zusammenhÃ¤ngen",3.2,3,2,2.75,2,3,2.5,2.5,3,2.75,2,2.6,1.75,3,1.8,1.2,1,2,1.4,1.75,2.33333333333333,1.5,1.25,2.575,1.58148148148148,2.07824074074074,NA,0,NA,"2017/11/30 08:56:23"
286,"11/30/2017 8:56:43",4,1,18,1,3,5,4,4,2,3,4,4,4,4,3,3,4,3,4,3,4,4,3,5,5,3,4,3,3,4,3,4,4,4,4,3,3,4,5,5,4,3,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,3,2,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,1,3,1,1,1,"Beeinflussung von Impressionen",2.6,2,3,2,1.75,3.25,2,2.5,2.5,2.25,2.5,2.4,1.75,2,1.6,1.2,1.25,1.66666666666667,2,1.5,2.66666666666667,1.25,1.5,2.32142857142857,1.62592592592593,1.97367724867725,NA,0,NA,"2017/11/30 08:56:43"
287,"11/30/2017 8:56:56",7,1,18,1,1,2,4,5,1,2,4,5,5,3,3,3,1,3,4,3,3,2,1,4,5,3,5,4,3,5,2,5,5,5,2,3,4,4,1,4,1,4,3,3,4,5,4,1,4,5,4,4,2,3,4,4,1,4,2,2,1,1,1,4,1,1,1,1,5,1,1,1,1,3,1,3,1,1,4,2,2,1,3,1,4,4,3,2,1,1,4,1,5,1,1,1,1,1,"Ob GefÃ¼hlslage und PersÃ¶nlichkeit die Bewertung von unangenehmen Situationen beeinflussen",4.4,1.25,2.75,2,1.5,4,2,4.5,3.75,3.5,2.25,1.6,2.25,3,2.4,1,2.5,3,1,2.5,1.33333333333333,1.5,2.5,2.76785714285714,1.97037037037037,2.36911375661376,NA,1,0.9873503188449834,"2017/11/30 08:56:56"
288,"11/30/2017 9:28:07",5,1,19,1,4,5,5,5,4,3,5,4,4,3,2,2,4,2,3,2,4,5,3,4,5,3,4,5,5,3,3,4,3,4,3,4,4,4,2,4,5,2,4,3,3,4,2,5,4,4,5,3,2,2,4,4,3,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,"Keine Ahnung",1.2,2,4,2.25,1.5,2.5,1.75,2.5,1.5,2.75,2.5,3,2.25,3,1.2,1,1,1,1,1,3,1.25,1,2.33571428571429,1.27222222222222,1.80396825396825,NA,0,NA,"2017/11/30 09:28:07"
289,"11/30/2017 9:28:22",3,1,22,1,4,4,4,4,3,4,4,4,4,5,4,3,4,4,4,5,4,5,4,3,5,2,3,2,2,4,2,3,4,3,2,4,2,4,3,4,5,2,4,4,4,4,4,5,3,3,5,3,2,4,4,4,4,4,5,4,5,1,1,3,3,1,1,1,1,1,1,3,4,1,2,1,3,1,1,1,4,1,1,1,1,3,1,1,2,2,1,1,4,1,3,1,1,1,"Priming, Quantenpsychologie",1.4,2.5,2.25,2,2,3.75,1.75,2,2.25,2.5,2.5,2.4,2.5,2.66666666666667,2,1,2,1,1.6,1,3.66666666666667,1.25,1.75,2.31904761904762,1.6962962962963,2.00767195767196,NA,0,NA,"2017/11/30 09:28:22"
290,"11/30/2017 9:28:25",8,1,22,1,5,5,5,4,2,4,4,5,4,4,4,3,4,3,5,4,3,4,4,4,5,3,4,2,3,3,4,4,4,4,2,4,4,4,4,5,5,4,4,4,4,4,4,5,3,3,4,4,3,4,4,4,4,5,4,4,5,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,2,1,3,1,3,1,1,2,"Ich glaube das Ziel der Studie war herauszufinden, wie mein emotionaler Zustand momentan ist und wie wohl ich mich in der Gesellschaft fÃ¼hle. Die Bilder sollten Ã¼berprÃ¼fen, wie lamge ich es aushalte solche schlimmen Sachen zu sehen bzw. wie schnell ich diese nicht mehr sehen will.",1.2,2,2,1.75,1.75,3,2.25,1.75,2,2.25,2.75,1.8,2.5,2.33333333333333,1.6,1.2,1,1.33333333333333,1.4,1,2.66666666666667,1.5,1.25,2.0952380952381,1.43888888888889,1.76706349206349,NA,0,NA,"2017/11/30 09:28:25"
291,"11/30/2017 9:28:31",5,1,20,1,5,5,4,4,3,5,3,3,3,3,4,3,3,4,4,4,4,4,3,4,4,3,3,4,4,2,2,4,3,3,2,5,3,4,4,4,5,5,4,3,3,4,4,5,4,4,5,4,3,5,4,4,3,4,4,4,5,2,4,3,2,1,3,2,5,2,2,4,3,2,4,3,2,2,2,1,5,2,1,3,3,2,4,2,3,3,4,4,4,2,3,1,1,2,"Ich weiÃŸ es nicht, wenn jetzt noch Fragen zu meinem Empfinden oder zu den als erstes prÃ¤sentierten Bildern kommen vielleicht was der einfluss der bilder auf uns hat?",1,2.5,1.5,2.25,2.25,3,2.5,2.25,2.5,1.75,2.5,2.4,2.25,3,2,2,1.75,2.66666666666667,2.8,2.25,3.66666666666667,3.25,4,2.26071428571429,2.70925925925926,2.48498677248677,NA,1,0.9853324086863149,"2017/11/30 09:28:31"
292,"11/30/2017 9:28:36",3,1,20,1,3,4,3,3,3,4,4,2,4,4,4,4,4,2,1,4,4,5,5,5,5,4,4,3,3,4,2,3,3,4,2,5,2,3,4,4,5,2,4,3,4,3,1,2,4,4,4,4,3,5,5,5,4,4,3,4,5,1,1,2,2,2,1,1,3,2,1,2,2,1,1,3,3,3,3,1,3,3,2,3,1,1,1,1,3,3,2,3,5,3,3,3,1,4,"Selbstbestimmung der GefÃ¼hle und experimentelle Untersuchung der GefÃ¼hle vergleichen?",1.8,2.25,2.25,2.75,1.75,3.25,2.75,2,2.25,2,2.5,3.4,1.75,3,2.6,1.4,2,2.66666666666667,3,1,2.66666666666667,2,2.25,2.40714285714286,2.17592592592593,2.29153439153439,NA,1,0.8638936025399309,"2017/11/30 09:28:36"
293,"11/30/2017 9:36:48",4,1,24,1,4,5,5,5,3,3,4,4,5,5,5,3,5,4,3,4,5,5,4,5,5,3,4,5,3,4,2,4,5,3,4,5,5,5,5,4,5,3,4,5,5,5,3,5,5,4,4,5,3,5,5,5,3,5,5,5,5,1,1,1,1,1,1,1,3,1,1,3,3,1,1,1,1,2,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"Beeinflussung der momentanen Lebenssituation auf die Bewertung von unangenehmen Bildern",1,2,1.75,1.5,1.5,3.25,1.25,2.25,1,2.25,1.5,2,1,1.33333333333333,1.2,1.2,1,1,1,1,1.66666666666667,1.5,2.25,1.68452380952381,1.31296296296296,1.49874338624339,NA,0,NA,"2017/11/30 09:36:48"
294,"11/30/2017 10:03:15",7,2,23,1,2,1,4,5,4,5,4,4,2,3,3,1,3,5,3,4,4,4,4,4,5,4,3,2,3,5,4,5,4,4,5,1,4,5,3,5,1,3,3,5,4,4,3,1,4,4,4,1,3,4,4,4,3,5,3,3,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,2,1,1,3,3,4,3,1,1,1,2,3,1,3,1,2,1,2,1,1,1,1,1,"zu sehen, ob wenn Fragen positiv gestellt werden dasselbe angegeben wird im Vergleich zur negativen Stellung einer Frage.",5,2,2.5,2,1.5,2.5,1.5,3,2.5,2,3.5,3.2,2,1,1.6,1,2,2,1.4,1,2,1.75,1.75,2.44285714285714,1.61111111111111,2.02698412698413,NA,0,NA,"2017/11/30 10:03:15"
